obs_std,mod_std,R,RMSE,Bias,WSS,Group
0.386577627737443,0.3656373312595139,0.4159754005053274,0.427477852606115,-0.13114236746255167,0.6011752132130785,TOT
0.7874167198671603,0.36404169370624595,0.28905912372668163,0.8558121041754638,0.38155204435632495,0.4992109979130034,ZC1-EUP
0.3630903306215132,0.5407439210200458,0.2669301422768387,0.6072994940151797,-0.22224228739188212,0.485204830113783,ZC5-CSM
0.6000382373803621,0.3247615114871842,0.2330507157203313,0.6425351503693978,-0.19535701955178503,0.4747544362251992,ZS2-CTH
0.7319461198048824,0.3165494058728699,0.2135814712111368,0.7532556411504076,0.17440708486732637,0.46390998836696673,ZS4-LAR
0.4844071303986021,0.14459297165339494,0.2926343962683283,0.49038813244129664,-0.160985849145808,0.4042934608828366,ZC2-AMP
0.4526495800950777,0.13891675413354035,-0.014593310162864397,0.5036685793322165,-0.16630471540190891,0.33463976204847157,ZS3-CHA
0.5986863318412918,0.3961156676363596,-0.14393893666003615,0.792677271830885,-0.21150496694162113,0.2690427493186366,ZC4-CLG
0.6441503642299071,0.19125022008688847,-0.15263672135867307,0.6997160964276665,0.02210093960982468,0.22536273919368555,ZC3-DEC
0.852760979358316,0.5325832031258317,-0.13602195300661651,1.1020020689053769,-0.28285908820541683,0.22323556507784048,ZF1-ICT
