R,obs_std,model_std,centered_RMSE,RMSE,Bias,MAE,WSS,N,Group,Model,Season
0.46561286550355313,1.1740637487914365,1.0621575426463645,1.1598827421473645,1.1626439441057494,-0.08008099171765486,0.9292913136448478,0.6760103054831745,34,Diatoms,Ecospace,All
-0.8069676104874672,0.35880928586630034,0.7369406652499971,1.0481337038043765,1.149635609019169,0.47231109713217134,0.9928372402479662,0.040496377520905735,8,Diatoms,Ecospace,Winter
0.056564805996856295,0.5431120641850983,0.5254749508133923,0.7340356777897805,0.8005987121295243,-0.3196090136325172,0.6314685436579093,0.4695677240572046,9,Diatoms,Ecospace,Spring
0.07866234110219997,1.1331782539558763,0.818086860483241,1.3444378267556358,1.6549062552345544,-0.9649878981640335,1.4344289042565102,0.3705323534949436,9,Diatoms,Ecospace,Summer
0.7687087999826921,0.6298102103190313,0.7265438996657155,0.47013622073596273,0.7881020408659085,0.6325162138389152,0.6325162138389152,0.7146406128503191,8,Diatoms,Ecospace,Fall
0.6737106780038978,1.1740637487914365,1.0388602299769145,0.9023427405561351,0.9025885941352246,-0.021065346630067597,0.7418635290002049,0.816513041254538,34,Diatoms,SSC,All
-0.8069676104874672,0.35880928586630034,0.7369406652499971,1.0481337038043765,1.149635609019169,0.47231109713217134,0.9928372402479662,0.040496377520905735,8,Diatoms,Ecospace,Winter
0.056564805996856295,0.5431120641850983,0.5254749508133923,0.7340356777897805,0.8005987121295243,-0.3196090136325172,0.6314685436579093,0.4695677240572046,9,Diatoms,Ecospace,Spring
0.07866234110219997,1.1331782539558763,0.818086860483241,1.3444378267556358,1.6549062552345544,-0.9649878981640335,1.4344289042565102,0.3705323534949436,9,Diatoms,Ecospace,Summer
0.7687087999826921,0.6298102103190313,0.7265438996657155,0.47013622073596273,0.7881020408659085,0.6325162138389152,0.6325162138389152,0.7146406128503191,8,Diatoms,Ecospace,Fall
0.24174138864250197,2.4559817713410426,0.9296956267627751,2.4067066074436467,2.4414870902832764,0.4106367223069454,1.8169238698390229,0.4350231329115479,35,Nanophytoplankton,Ecospace,All
-0.3815446567045138,1.84014478662889,0.7892606802097967,2.2621540657711865,2.2772311383396966,0.2616116208022907,1.977558789750684,0.23777939092572187,8,Nanophytoplankton,Ecospace,Winter
0.43467800508058385,2.655457822482271,0.14186041925568615,2.5969386642934706,3.0162901844963352,1.5342477150012577,2.172387143671283,0.421314796703533,9,Nanophytoplankton,Ecospace,Spring
-0.09764005862845455,2.3280303127544864,0.26255202837823616,2.368125754951996,2.3753214479310905,-0.18474953243375322,1.6094627388731548,0.08817699448821925,9,Nanophytoplankton,Ecospace,Summer
0.47988774188457484,2.21744393492225,0.8485823884898898,1.9573338058021104,1.9573903556206793,0.014878741246358388,1.5261351314955984,0.5101697719525028,9,Nanophytoplankton,Ecospace,Fall
0.5352161224760261,2.4559817713410426,1.090817242202364,2.086626835332873,2.114293029381237,0.3409156261581578,1.6739488424386797,0.5854547182269413,35,Nanophytoplankton,SSC,All
-0.3815446567045138,1.84014478662889,0.7892606802097967,2.2621540657711865,2.2772311383396966,0.2616116208022907,1.977558789750684,0.23777939092572187,8,Nanophytoplankton,Ecospace,Winter
0.43467800508058385,2.655457822482271,0.14186041925568615,2.5969386642934706,3.0162901844963352,1.5342477150012577,2.172387143671283,0.421314796703533,9,Nanophytoplankton,Ecospace,Spring
-0.09764005862845455,2.3280303127544864,0.26255202837823616,2.368125754951996,2.3753214479310905,-0.18474953243375322,1.6094627388731548,0.08817699448821925,9,Nanophytoplankton,Ecospace,Summer
0.47988774188457484,2.21744393492225,0.8485823884898898,1.9573338058021104,1.9573903556206793,0.014878741246358388,1.5261351314955984,0.5101697719525028,9,Nanophytoplankton,Ecospace,Fall
0.5181108709149667,1.3704148585313767,0.9453027888029624,1.1955139275053863,1.1980971202751995,0.0786330639894655,0.9787283818532152,0.699518662073629,31,Picoplankton,Ecospace,All
0.3651246854668877,0.7001455698684232,0.6647270099344011,0.7695476711265917,0.8326693845026273,-0.3180168010524337,0.7244128898093333,0.6190783642161917,6,Picoplankton,Ecospace,Winter
0.6502863731454185,1.4511913816579423,0.1238992589735005,1.373849509243344,1.4546656677757694,0.47811058444396326,1.2680356174026552,0.41660388344000776,9,Picoplankton,Ecospace,Spring
-0.5808554528261068,1.1769358971169437,0.26344798032347705,1.3471394273464754,1.3671678983934434,0.233159657072477,1.0330480040673469,0.13498661354628227,8,Picoplankton,Ecospace,Summer
0.8384534897600531,1.44781943413739,0.8702016618246835,0.8606425113745817,0.8902846335867469,-0.22781834082343172,0.7896747386788754,0.8434510270250952,8,Picoplankton,Ecospace,Fall
0.37402077110986814,1.1942271142352863,0.9371021601992927,1.2112786582050041,1.2120388683221386,0.04292121271231105,0.9562844641898947,0.6227813566368827,35,Dinoflagellates,Ecospace,All
-0.11092070417091981,0.6688323815462693,0.7366378140219029,1.0484609917315573,1.0484616773951776,0.0011990761397867034,0.912928488877039,0.31688528242666025,8,Dinoflagellates,Ecospace,Winter
0.6588556987091462,0.5969612820133484,0.8993578195337967,0.6765737187391216,1.0197928091773534,-0.7630369432480668,0.8696485181798054,0.6138430602823237,9,Dinoflagellates,Ecospace,Spring
0.12504558015184059,0.7320218821964788,0.32689515841049377,0.7634599296430361,0.8534649704860328,-0.38148576864173467,0.7042467863594487,0.43432386569900405,9,Dinoflagellates,Ecospace,Summer
-0.07478195183846018,1.042714260128136,0.3333225543226959,1.118185767603107,1.7226189384553987,1.3103726936467561,1.3334967327529685,0.4524870391751912,9,Dinoflagellates,Ecospace,Fall
