year,biweekly,ewe_row,ewe_col,date_rep,model_time,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC
2015,1,90,46,2015-01-07,2015-01-08,0.00432773260399699,0.000207163480808958,0.235844761133194,0.00681576877832413,0.610549807548523,0.572184085845947,0.0871964991092682,0.411914616823196,0.280023247003555,0.00196507014334202,0.0101139089092612,0.10275374352932,0.0183636732399464,0.110553696751595,0.138512432575226,0.530628204345703,0.464080035686493,0.635591328144073,0.091085322201252,0.124794699251652
2015,1,90,47,2015-01-07,2015-01-08,0.00431123608723283,0.000206512122531421,0.23477067053318,0.00925587955862284,0.623002469539642,0.575030386447906,0.0886427313089371,0.410849124193192,0.277702838182449,0.00196918263100088,0.00994266197085381,0.102847076952457,0.0180256310850382,0.104765050113201,0.13170500099659,0.534774780273438,0.463227897882462,0.628210604190826,0.0892734974622726,0.123094514012337
2015,1,90,48,2015-01-07,2015-01-08,0.0042921993881464,0.000205761403776705,0.233634471893311,0.0132052525877953,0.686653614044189,0.59081369638443,0.0944305658340454,0.415688931941986,0.278141498565674,0.00199490715749562,0.00976113509386778,0.10401176661253,0.01784298568964,0.0976893529295921,0.123512282967567,0.551608741283417,0.475666344165802,0.626972913742065,0.087468720972538,0.121495358645916
2015,1,90,49,2015-01-07,2015-01-08,0.00427075801417232,0.000204914016649127,0.232450425624847,0.0190923046320677,0.667729377746582,0.586046397686005,0.093576081097126,0.410745084285736,0.27449032664299,0.00198578438721597,0.00957228895276785,0.103534460067749,0.0173494275659323,0.0877378508448601,0.111739747226238,0.547978579998016,0.438823342323303,0.581764280796051,0.0815180987119675,0.12009783834219
2015,1,90,50,2015-01-07,2015-01-08,0.00424723280593753,0.000203976553166285,0.231234952807426,0.0262999329715967,0.573074817657471,0.593713700771332,0.0968224182724953,0.412555128335953,0.273594468832016,0.00199734489433467,0.00938050169497728,0.104124017059803,0.0170386172831059,0.0847272798418999,0.108561851084232,0.558299779891968,0.457985103130341,0.594918131828308,0.0825057178735733,0.118728503584862
2015,1,90,51,2015-01-07,2015-01-08,0.0042217681184411,0.000202922325115651,0.2299894541502,0.0200130976736546,0.717546224594116,0.595731198787689,0.0982694923877716,0.411685734987259,0.271851301193237,0.00199984945356846,0.00919006671756506,0.10407730191946,0.0166666600853205,0.0802728086709976,0.103457152843475,0.562679886817932,0.459198206663132,0.589800536632538,0.0812518820166588,0.117495119571686
2015,1,90,52,2015-01-07,2015-01-08,0.00419365987181664,0.000201760471099988,0.228714659810066,0.0143642965704203,0.737714767456055,0.598957240581512,0.0994506999850273,0.410267889499664,0.270134687423706,0.0019997067283839,0.00899507198482752,0.104236699640751,0.0162444021552801,0.0759369358420372,0.0984946936368942,0.565579891204834,0.45875608921051,0.581872463226318,0.079975537955761,0.116344422101974
2015,1,90,53,2015-01-07,2015-01-08,0.00416314043104649,0.000200511698494665,0.227415353059769,0.0150184277445078,0.687996208667755,0.585056960582733,0.0957631096243858,0.401081889867783,0.265622645616531,0.00197320827282965,0.00879685394465923,0.103164084255695,0.0156833361834288,0.0735119208693504,0.0960963219404221,0.551997900009155,0.445093184709549,0.571305751800537,0.0797218829393387,0.115327931940556
2015,1,90,54,2015-01-07,2015-01-08,0.00413076393306255,0.000199208268895745,0.226108014583588,0.0219785217195749,0.645890355110168,0.573036074638367,0.0926807746291161,0.3930444419384,0.261723101139069,0.00194919225759804,0.00859779678285122,0.102233596146107,0.0151641815900803,0.0707937330007553,0.0933534502983093,0.540291011333466,0.43229216337204,0.560145854949951,0.0793063566088676,0.11431160569191
2015,1,90,55,2015-01-07,2015-01-08,0.00409698719158769,0.000197871821001172,0.224811136722565,0.0297197829931974,0.379201680421829,0.563887417316437,0.0905568525195122,0.386706620454788,0.258661389350891,0.00192962156143039,0.00839974731206894,0.1015445291996,0.0147120160982013,0.0679703801870346,0.0904643982648849,0.531773567199707,0.422363877296448,0.550339221954346,0.0788488388061523,0.113231234252453
2015,1,91,46,2015-01-07,2015-01-08,0.00432518776506186,0.000207169126952067,0.236009433865547,0.00250120600685477,0.666455984115601,0.587085843086243,0.0918400287628174,0.419906198978424,0.283649623394012,0.00199625338427722,0.0101888757199049,0.104530572891235,0.0188462976366282,0.107141956686974,0.13360396027565,0.54779040813446,0.462483316659927,0.618523299694061,0.0861962363123894,0.124069452285767
2015,1,91,47,2015-01-07,2015-01-08,0.0043098134920001,0.000206530719879083,0.234943091869354,0.00505952117964625,0.738966822624207,0.603113114833832,0.0974893495440483,0.426045686006546,0.283863723278046,0.0020231413654983,0.0100260227918625,0.1057173833251,0.0186514295637608,0.0994496718049049,0.124586813151836,0.566392958164215,0.4757060110569,0.616982817649841,0.0843205228447914,0.122070476412773
2015,1,91,48,2015-01-07,2015-01-08,0.00429190928116441,0.000205796182854101,0.233806654810905,0.00839863065630198,0.732361257076263,0.60159969329834,0.0975461825728416,0.422616750001907,0.280531942844391,0.00201982841826975,0.00985378585755825,0.105460129678249,0.0181949641555548,0.0954341515898705,0.120073303580284,0.565919995307922,0.474819660186768,0.613502264022827,0.0838630795478821,0.120261706411839
