Label,Type,Count,Total,Proportion
Suchy,Categorical Agreement,8,14,0.5714285714285714
Allen,Categorical Agreement,19,39,0.48717948717948717
Suchy,Timing Window Overlap,4,14,0.2857142857142857
Allen,Timing Window Overlap,15,39,0.38461538461538464
