Year,Bloom Date,Day of Year
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,1996-06-06,158.0
1997,1997-05-17,137.0
1998,1998-05-02,122.0
1999,1999-05-17,137.0
2000,2000-05-19,140.0
2001,2001-05-14,134.0
2002,2002-05-20,140.0
2003,2003-05-08,128.0
2004,2004-05-16,137.0
2005,2005-05-02,122.0
2006,2006-05-23,143.0
2007,2007-05-20,140.0
2008,2008-05-13,134.0
2009,2009-05-05,125.0
2010,2010-05-14,134.0
2011,2011-05-11,131.0
2012,2012-05-04,125.0
2013,2013-05-11,131.0
2014,2014-05-05,125.0
2015,2015-05-05,125.0
2016,2016-04-13,104.0
2017,2017-04-29,119.0
2018,2018-04-29,119.0
