timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
20,0.004645557,0.000180253,0.2897176,0.03068376,0.5072006,0.4422954,0.07835904,0.5654011,0.5155379,0.003119057,0.03530489,0.2954751,0.02117921,0.7221559,0.3508403,0.18876,0.5721233,0.8699811,0.2514228,0.01225589,7.199583,9.889733,1978-02-28,Winter
21,0.004635929,0.000179469,0.288707,0.03054584,0.4915321,0.4352354,0.07632164,0.5467864,0.499706,0.003107363,0.03444853,0.2951526,0.01964305,0.693697,0.3156253,0.1843744,0.7126869,0.9648454,0.2786092,0.01131924,7.06098,9.634962,1978-03-03,Spring
22,0.00462425,0.0001785799,0.287499,0.03039579,0.4767423,0.4282222,0.07451344,0.5304754,0.4855594,0.003093192,0.03356333,0.2946109,0.01950345,0.7085127,0.2942946,0.2202039,1.162883,1.253011,0.401662,0.009444797,6.973818,9.499741,1978-03-06,Spring
23,0.00461063,0.0001775967,0.2861744,0.03024257,0.4627074,0.4212512,0.07293274,0.516726,0.4745492,0.00307677,0.0327347,0.2940231,0.02076722,0.7604346,0.285232,0.267828,1.425368,1.418055,0.4487806,0.007470245,6.942959,9.500791,1978-03-09,Spring
24,0.004595187,0.0001765291,0.2847878,0.03008359,0.4492013,0.4143938,0.07144313,0.503805,0.4654386,0.003058855,0.03199188,0.2934782,0.02222395,0.8012874,0.2784111,0.2860915,1.263312,1.367725,0.3833544,0.006061634,6.918311,9.527395,1978-03-12,Spring
25,0.004578044,0.0001753853,0.2833478,0.02991568,0.4365962,0.4078955,0.07011498,0.4915525,0.4571162,0.003041029,0.03129534,0.2929512,0.02372408,0.8296134,0.2734037,0.3123149,1.363771,1.446601,0.3851314,0.004803478,6.884662,9.555281,1978-03-15,Spring
26,0.004559324,0.0001741736,0.2818654,0.02974063,0.4243613,0.4015104,0.06880189,0.4794582,0.449439,0.003022076,0.03065784,0.2924499,0.02470194,0.8365105,0.266915,0.2932593,1.152857,1.283638,0.317076,0.004223188,6.84783,9.55913,1978-03-18,Spring
27,0.004539104,0.0001728987,0.2803265,0.02955865,0.4127615,0.3953474,0.06758954,0.4680888,0.4422284,0.003002583,0.03004294,0.291924,0.02565511,0.8452702,0.2623441,0.3146249,1.386855,1.434729,0.366538,0.003360591,6.806855,9.568133,1978-03-21,Spring
28,0.00451753,0.0001715708,0.2787704,0.02937906,0.4020717,0.3894312,0.06661393,0.4589522,0.4372083,0.002983025,0.02948426,0.2914614,0.02765632,0.8864028,0.2665963,0.3469014,1.752208,1.554381,0.4281038,0.00265732,6.810752,9.673622,1978-03-24,Spring
29,0.004494769,0.0001702008,0.2772445,0.02920299,0.3918848,0.3837054,0.06575309,0.4509601,0.4341342,0.0029634,0.02902082,0.2911482,0.02988479,0.9281092,0.2740669,0.3651902,1.667912,1.542874,0.3929264,0.002127186,6.828696,9.813897,1978-03-27,Spring
