Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-04-04,95,cusp
1981,1981-02-10,41,early
1982,1982-03-15,74,avg
1983,1983-03-21,80,avg
1984,1984-03-08,68,early
1985,1985-01-29,29,early
1986,1986-03-21,80,avg
1987,1987-03-24,83,avg
1988,1988-03-14,74,avg
1989,1989-02-13,44,early
1990,1990-02-28,59,early
1991,1991-02-25,56,early
1992,1992-02-16,47,early
1993,1993-02-16,47,early
1994,1994-01-29,29,early
1995,1995-03-03,62,early
1996,1996-03-05,65,early
1997,1997-02-10,41,early
1998,1998-03-06,65,early
1999,1999-03-27,86,avg
2000,2000-02-16,47,early
2001,2001-02-22,53,early
2002,2002-03-09,68,early
2003,2003-02-13,44,early
2004,2004-02-13,44,early
2005,2005-02-22,53,early
2006,2006-02-16,47,early
2007,2007-02-13,44,early
2008,2008-03-02,62,early
2009,2009-01-23,23,early
2010,2010-02-22,53,early
2011,2011-02-04,35,early
2012,2012-03-05,65,early
2013,2013-02-16,47,early
2014,2014-01-23,23,early
2015,2015-02-01,32,early
2016,2016-01-11,11,early
2017,2017-02-25,56,early
2018,2018-02-19,50,early
