Year,Bloom Date,Day of Year,Bloom Early Late
1978,1978-01-02,2,early
1979,1979-03-06,65,early
1980,1980-03-05,65,early
1981,1981-02-28,59,early
1982,1982-03-06,65,early
1983,1983-02-28,59,early
1984,1984-02-16,47,early
1985,1985-03-03,62,early
1986,1986-03-09,68,cusp
1987,1987-02-25,56,early
1988,1988-02-22,53,early
1989,1989-03-15,74,avg
1990,1990-03-03,62,early
1991,1991-02-22,53,early
1992,1992-02-28,59,early
1993,1993-02-16,47,early
1994,1994-02-01,32,early
1995,1995-02-28,59,early
1996,1996-02-25,56,early
1997,1997-02-22,53,early
1998,1998-02-16,47,early
1999,1999-03-06,65,early
2000,2000-02-16,47,early
2001,2001-02-25,56,early
2002,2002-03-03,62,early
2003,2003-02-25,56,early
2004,2004-02-13,44,early
2005,2005-03-03,62,early
2006,2006-02-10,41,early
2007,2007-02-22,53,early
2008,2008-02-25,56,early
2009,2009-03-06,65,early
2010,2010-02-19,50,early
2011,2011-02-22,53,early
2012,2012-02-07,38,early
2013,2013-03-09,68,cusp
2014,2014-03-12,71,avg
2015,2015-02-16,47,early
2016,2016-02-25,56,early
2017,2017-03-24,83,avg
2018,2018-02-13,44,early
