Group,Initial,SpinupMean,SpinupMult,FullRunMean,FullRunMult
PZ3-HNF,0.46,0.6998316088372538,0.6573009766796247,0.6675133722597387,0.6891247713027202
ZC3-DEC,0.09,0.17910228720000193,0.5025061455496534,0.17030573129497562,0.5284613695361595
NK3-FOR,0.28,0.237371234691008,1.179586904725347,0.2164081609394921,1.293851390744401
ZC5-CSM,0.5,0.7858574784607554,0.636247683205027,0.7490832607379178,0.6674825432722296
PZ1-CIL,1.1,0.7660558424977196,1.4359266504821084,0.7365238536184628,1.493502205795261
PP2-NAN,1.5,1.603692577926825,0.9353413619579922,1.5843399806850627,0.9467664884347649
ZS1-JEL,0.003,0.0029363272797607864,1.0216844766174706,0.0026575829483096508,1.1288452922638381
PP3-PIC,0.35,0.25296958202989184,1.383565554370259,0.257118684998445,1.3612390713732716
ZS4-LAR,0.04,0.042435451898910626,0.9426080838089733,0.0415324144906097,0.9631031687079937
ZS3-CHA,0.26,0.21194956734936668,1.2267069154778196,0.18945023530260424,1.3723920668913836
ZC2-AMP,0.52,0.9461210769367479,0.5496125312878578,0.890206023624118,0.5841344432640748
PP1-DIA,2.31,2.046730916815314,1.1286290645349362,1.9599004922476924,1.1786312668102856
ZF1-ICT,0.03,0.027017617652082115,1.1103865776147752,0.02570007494261246,1.1673117711519967
ZS2-CTH,0.03,0.052915445701802885,0.5669422151154226,0.048990072585377326,0.6123689640940534
PZ2-DIN,0.87,0.5559954372605923,1.5647610424404172,0.5295924897965392,1.6427725407024556
NK2-CHI,0.00018,0.0001501583896583087,1.1987342193106698,0.00013450072232799645,1.3382827756199556
NK1-COH,0.0046,0.00345724204583103,1.3305403379398855,0.0029638496647527305,1.5520355349682593
ZC1-EUP,0.6,0.42582028580855064,1.4090451300616542,0.3984370305020035,1.5058841273965948
ZC4-CLG,0.64,0.7056911624945605,0.9069123067060275,0.6607349579467953,0.968618342805369
BA1-BAC,0.17,0.10841668621985155,1.568024313667616,0.10405315608268537,1.6337803330531395
