Year,Bloom Date,Day of Year
1978,1978-01-05,5
1979,1979-01-02,2
1980,1980-01-02,2
1981,1981-01-20,20
1982,1982-01-08,8
1983,1983-01-02,2
1984,1984-01-02,2
1985,1985-02-10,41
1986,1986-01-05,5
1987,1987-01-02,2
1988,1988-01-11,11
1989,1989-01-02,2
1990,1990-01-02,2
1991,1991-01-02,2
1992,1992-01-02,2
1993,1993-01-05,5
1994,1994-01-05,5
1995,1995-01-02,2
1996,1996-01-02,2
1997,1997-04-02,92
1998,1998-02-25,56
1999,1999-04-14,104
2000,2000-04-04,95
2001,2001-04-11,101
2002,2002-04-14,104
2003,2003-03-24,83
2004,2004-03-05,65
2005,2005-03-15,74
2006,2006-04-17,107
2007,2007-04-14,104
2008,2008-04-16,107
2009,2009-04-11,101
2010,2010-03-27,86
2011,2011-04-05,95
2012,2012-03-29,89
2013,2013-03-18,77
2014,2014-03-18,77
2015,2015-03-03,62
2016,2016-03-17,77
2017,2017-03-24,83
2018,2018-03-24,83
