N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group
16,0.49258709515714694,1.3221944330212474,1.6098420795222919,1.6098420795222919,-0.07480724389385844,0.005596123738995221,289.7111672132698,-2.427131442798349,0.310223514456631,ZC2-AMP
16,0.4870241710411017,1.5946700791821113,2.0655130718044012,2.0655130718044012,-0.36566894334907446,0.13371377613002863,158.20554750552566,-1.9884893911558055,0.25997891715903765,ZC3-DEC
16,0.2318888017815297,1.6563447834626297,2.2384351582766033,2.2384351582766033,-0.6524825787054621,0.4257335155141296,259.7039698936153,-2.905170554021791,0.09376259888624572,ZC5-CSM
16,0.15883606773964404,1.7843362047803197,2.272232963789079,2.272232963789079,-0.6298597733369812,0.39672333406811333,271.9214329130472,-2.3853591253287676,0.06106365188825269,ZC4-CLG
15,0.13924872541733796,1.396942528657865,1.80218942880504,1.80218942880504,-0.6503414334640792,0.4229439800801134,259.43139889847873,-1.9510670306399636,0.036943696131216064,ZC1-EUP
16,0.3602177036652804,2.068660529700944,2.5449342677248246,2.5449342677248246,-0.7086287499140143,0.5021547052046985,210.2670658827547,-1.774859441783109,0.002451162899742454,Total
