N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group,Pass,Season,ObsSummary
19,0.2734740534615052,0.927772881644468,1.1864540359658606,1.1864540359658606,-0.1417610034651828,0.02009618210345557,1446.2725165200234,-1.2743882254866836,0.3313405904330484,ZC1-EUP,ZC,All,log_of_mean
19,0.0955235245952967,0.593172546744357,0.6744558025319141,0.6744558025319141,0.5908968325842985,0.34915906675815644,1101.5001933660876,-0.09164964227705652,0.7576951548886102,ZC2-AMP,ZC,All,log_of_mean
19,0.4024321334449078,1.0384701030651198,1.4726652010823589,1.4726652010823589,-0.31552966962982226,0.09955897241670478,5148.378912854073,-1.2790567801558357,0.28024212242794977,ZC3-DEC,ZC,All,log_of_mean
19,-0.17954011779091825,0.8766964440434494,1.1148746798749476,1.1148746798749476,-0.07271337910107756,0.005287235500297023,269.48654594666436,-1.2781024768886384,0.37406850582666873,ZC4-CLG,ZC,All,log_of_mean
19,-0.058235383241530825,0.6568639384071064,0.8089719587636218,0.8089719587636218,0.2111384885732481,0.04457946135699562,384.2650686273581,-1.5271044957066948,0.4764716397278921,ZC5-CSM,ZC,All,log_of_mean
19,0.07623128706938768,0.916102943307516,1.1700392676165483,1.1700392676165483,-0.19952194969667,0.039809008410760516,174.5038790451718,-1.4928104698049718,0.2916213533302756,Total,ZC,All,log_of_mean
19,0.0012489808192990399,1.0374920789884543,1.1825222661391255,1.1825222661391255,-0.11952281432397437,0.014285703143923252,273.8248869366232,-0.9938638497308279,0.29667387332264705,ZC1-EUP,ZC,All,mean_of_logs
19,0.03800227637938413,0.5771510663137664,0.6660219720702918,0.6660219720702918,0.6017500824085167,0.36210316167865664,271.76552436714644,0.003281326987465416,0.7674496817149747,ZC2-AMP,ZC,All,mean_of_logs
19,0.21034118662459572,0.8807204641894081,1.2316370857039851,1.2316370857039851,-0.16709826142335743,0.027921828970708704,447.4036941541464,-1.238049925768736,0.309363015585132,ZC3-DEC,ZC,All,mean_of_logs
19,-0.21869427254237017,0.8374793076497844,1.0259010861658862,1.0259010861658862,0.06546253874779327,0.004285343979306335,184.99300484342697,-1.1406235512261609,0.3939681102628708,ZC4-CLG,ZC,All,mean_of_logs
