R,obs_std,model_std,centered_RMSE,RMSE,Bias,MAE,WSS,N,Group,Model,Season
0.6366990151387465,1.1740637487914365,0.9589375354631435,0.9296918170664761,0.9306003428938984,-0.04111111131890448,0.7725936677527233,0.7834615107118124,34,Diatoms,Ecospace,All
-0.8348533569656291,0.35880928586630034,0.6194761638913544,0.9400142963839062,0.9418143090101498,0.058200646475238774,0.7694729786447948,0.02723904928028953,8,Diatoms,Ecospace,Winter
0.25043168404424815,0.5431120641850983,0.5770446800441271,0.6862803609907226,0.8295229437965764,-0.46596950587284297,0.6813079655105571,0.49020096336626373,9,Diatoms,Ecospace,Spring
0.08627356293234556,1.1331782539558763,0.5424398205176519,1.2133723553586446,1.218110223338668,-0.10733146534728016,1.1303067204383452,0.34803784033466223,9,Diatoms,Ecospace,Summer
0.7780860360673497,0.6298102103190313,0.6445675916627239,0.4247258620878085,0.5917513120993078,0.41204072304205586,0.47598358761176396,0.8003906892239374,8,Diatoms,Ecospace,Fall
0.6737106780038978,1.1740637487914365,1.0388602299769145,0.9023427405561351,0.9025885941352246,-0.021065346630067597,0.7418635290002049,0.816513041254538,34,Diatoms,SSC,All
-0.8348533569656291,0.35880928586630034,0.6194761638913544,0.9400142963839062,0.9418143090101498,0.058200646475238774,0.7694729786447948,0.02723904928028953,8,Diatoms,Ecospace,Winter
0.25043168404424815,0.5431120641850983,0.5770446800441271,0.6862803609907226,0.8295229437965764,-0.46596950587284297,0.6813079655105571,0.49020096336626373,9,Diatoms,Ecospace,Spring
0.08627356293234556,1.1331782539558763,0.5424398205176519,1.2133723553586446,1.218110223338668,-0.10733146534728016,1.1303067204383452,0.34803784033466223,9,Diatoms,Ecospace,Summer
0.7780860360673497,0.6298102103190313,0.6445675916627239,0.4247258620878085,0.5917513120993078,0.41204072304205586,0.47598358761176396,0.8003906892239374,8,Diatoms,Ecospace,Fall
0.207301222602001,2.4559817713410426,0.9232986435369227,2.4380673531781656,2.472453750249332,0.41091985652776547,1.8540551321961551,0.4102585204803705,35,Nanophytoplankton,Ecospace,All
-0.4528541038751439,1.84014478662889,0.7668585011111304,2.291784769374982,2.301815968301974,0.21466094845316475,2.02623018030157,0.19804764435276834,8,Nanophytoplankton,Ecospace,Winter
0.538210337393695,2.655457822482271,0.20834149728965934,2.549380559332231,3.0676488266866637,1.7062028272075236,2.25316916020023,0.439018463744724,9,Nanophytoplankton,Ecospace,Spring
-0.16714244020419802,2.3280303127544864,0.19903325886708167,2.36943708499182,2.391315744932583,-0.3227365678505319,1.6620813338493814,0.11776445878749342,9,Nanophytoplankton,Ecospace,Summer
0.46167694478632887,2.21744393492225,0.7691806034159626,1.9833835449795383,1.9835256851071752,0.023745672959283266,1.493870415334041,0.4728286902509006,9,Nanophytoplankton,Ecospace,Fall
0.5352161224760261,2.4559817713410426,1.090817242202364,2.086626835332873,2.114293029381237,0.3409156261581578,1.6739488424386797,0.5854547182269413,35,Nanophytoplankton,SSC,All
-0.4528541038751439,1.84014478662889,0.7668585011111304,2.291784769374982,2.301815968301974,0.21466094845316475,2.02623018030157,0.19804764435276834,8,Nanophytoplankton,Ecospace,Winter
0.538210337393695,2.655457822482271,0.20834149728965934,2.549380559332231,3.0676488266866637,1.7062028272075236,2.25316916020023,0.439018463744724,9,Nanophytoplankton,Ecospace,Spring
-0.16714244020419802,2.3280303127544864,0.19903325886708167,2.36943708499182,2.391315744932583,-0.3227365678505319,1.6620813338493814,0.11776445878749342,9,Nanophytoplankton,Ecospace,Summer
0.46167694478632887,2.21744393492225,0.7691806034159626,1.9833835449795383,1.9835256851071752,0.023745672959283266,1.493870415334041,0.4728286902509006,9,Nanophytoplankton,Ecospace,Fall
0.5194886556403763,1.3704148585313767,0.9339982747667583,1.191861967472403,1.1942922199027242,0.07615088320557817,0.9885180083045604,0.7001660539141514,31,Picoplankton,Ecospace,All
0.39605637088079393,0.7001455698684232,0.5872051645266705,0.7136897995301783,0.8303977733444323,-0.42450834152224287,0.7312931169132179,0.6151034975047759,6,Picoplankton,Ecospace,Winter
0.6885705437517782,1.4511913816579423,0.13056950505470685,1.364574029728538,1.450746700637429,0.4925481771368216,1.279693301049418,0.4267349244587858,9,Picoplankton,Ecospace,Spring
-0.5917137222768244,1.1769358971169437,0.20549902258525513,1.3090571956170567,1.3241739886171122,0.199514437405814,0.9997892942216537,0.1182256436684106,8,Picoplankton,Ecospace,Summer
0.8048604744201213,1.44781943413739,0.8036753242333419,0.932223828004615,0.9427022600308673,-0.14016520812144093,0.8425931865930083,0.815476995694774,8,Picoplankton,Ecospace,Fall
0.3196407608952095,1.1942271142352863,0.9503000382798479,1.2663903581054927,1.267134522992985,0.043420735347308226,0.9979723199181645,0.5880018079935321,35,Dinoflagellates,Ecospace,All
-0.17694476288873237,0.6688323815462693,0.6950841404304421,1.0464225296093643,1.0535438013664913,0.1222883106584452,0.921372653677544,0.2891820274977146,8,Dinoflagellates,Ecospace,Winter
0.6070058463316601,0.5969612820133484,0.9685179219949765,0.7697320240724405,1.3672450949423742,-1.1299875046925636,1.212420632182142,0.5148978825371245,9,Dinoflagellates,Ecospace,Spring
0.11083729958723204,0.7320218821964788,0.15259664307270931,0.7310128685015524,0.7378232629900074,-0.10001676606626408,0.5594229543731613,0.2741764452184201,9,Dinoflagellates,Ecospace,Summer
-0.0479267885413089,1.042714260128136,0.25739256046875736,1.0859234789889625,1.6863415132226391,1.290161965413075,1.290161965413075,0.4651542471768052,9,Dinoflagellates,Ecospace,Fall
