N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group
18,0.34650275514033235,1.1097882541171744,1.3913715832695008,1.3913715832695008,0.1656197106701538,0.027429888562465456,191.2297862417938,-1.2063808286347464,0.4497284874017522,ZS2-CTH
16,0.18196731264480254,1.1926700146887907,1.4862701550738775,1.4862701550738775,0.09976975884641884,0.00995400478027257,242.34623911458294,-1.4903662741804258,0.38837145493531633,ZS4-LAR
18,0.6193008140365399,1.7277025553658,2.251530421185697,2.251530421185697,-0.7154828183301613,0.5119156633256705,209.77855608268584,-3.7198261080912607,0.04621181779167216,ZS3-CHA
18,0.7066190846520568,1.762346425861753,2.3337707868346302,2.3337707868346302,-0.7205505490544855,0.5191930937427205,241.8598622930174,-4.456762256494805,0.033396134518753895,Total
