year,group,obs_anom,model_anom
2000,Total,-0.31086196375862285,-0.26370027127076817
2000,ZS2-CTH,-1.6796669420432329,-0.9027119455944419
2000,ZS3-CHA,-0.03404469391640286,0.7069402434029235
2000,ZS4-LAR,-0.49921863457458066,-1.01892536777153
2001,Total,-0.11842532523017617,1.1028773945187325
2001,ZS2-CTH,-0.994068813452358,-0.4560219623872405
2001,ZS3-CHA,0.11500815839179145,1.7047913898244087
2001,ZS4-LAR,-0.8528676757914186,-0.5019682791920492
2003,Total,0.548289751399518,0.42535032457612787
2003,ZS2-CTH,-0.008791714109588006,-1.199646170764181
2003,ZS3-CHA,0.6969250149650208,1.2262559648657152
2003,ZS4-LAR,-0.09954676354067939,-0.04186008534308195
2004,Total,-1.3794857037829378,1.103514105272721
2004,ZS2-CTH,-0.9748729126151293,-0.18163404140235292
2004,ZS3-CHA,-1.1298098337776945,1.2175771962543742
2004,ZS4-LAR,-0.6078133486917887,0.1399063986210212
2005,Total,-0.5813084364660592,1.7569872788248653
2005,ZS2-CTH,-0.03189456403131988,0.9454869647979082
2005,ZS3-CHA,-0.4536816241644707,1.2710803472224377
2005,ZS4-LAR,-1.3621664336411694,0.007075402486858777
2007,Total,-0.4427405796267222,0.7236514351126464
2007,ZS2-CTH,-0.4976317822783594,0.7796914751443622
2007,ZS3-CHA,-0.29480141375073293,0.26780310101337135
2007,ZS4-LAR,0.3009099710281448,0.1525795162164527
2008,Total,-0.5172479701810081,0.7737568309373575
2008,ZS2-CTH,0.275714114440651,0.930927666893261
2008,ZS3-CHA,-0.572947700210693,-0.04725587095814285
2008,ZS4-LAR,-0.8905562357895491,0.6939003478671849
2009,Total,0.039912863184965994,1.0348745258997512
2009,ZS2-CTH,-0.7052695479852418,0.6408960801608227
2009,ZS3-CHA,-0.1531151079907424,0.6121720330072651
2009,ZS4-LAR,0.6267612467776973,0.39993894577302425
2010,Total,-0.501532734510328,2.0894623659646863
2010,ZS2-CTH,-0.11885186904795687,1.0270754986428736
2010,ZS3-CHA,-0.44267487803555544,1.3868102178053594
2010,ZS4-LAR,-0.15661064310451828,0.38157208942183946
2011,Total,0.7077255540179356,-0.4346656277122632
2011,ZS2-CTH,0.9434748255295009,0.6176427262434937
2011,ZS3-CHA,0.512973240450584,-1.9745558155207128
2011,ZS4-LAR,0.031724185639266676,2.1602176878267
2012,Total,-1.4842600514943078,0.5208311000144145
2012,ZS2-CTH,-1.1668406518138765,1.1051895412863737
2012,ZS3-CHA,-1.415730015063001,-1.1476443038072888
2012,ZS4-LAR,-0.5610250585097517,1.9543817480148729
2013,Total,-0.2892162491201921,0.3722134025930237
2013,ZS2-CTH,-0.9560870767263987,0.6478198900633066
2013,ZS3-CHA,-0.01049189441647109,0.06879656248072964
2013,ZS4-LAR,-1.1751281163034428,-0.017819210513673762
2014,Total,-0.4798804667501285,1.2206725275794679
2014,ZS2-CTH,-0.6924404690182849,0.8162567958197661
2014,ZS3-CHA,-0.26021081788058614,0.770063967552315
2014,ZS4-LAR,-0.8115536421249999,0.127382267621943
2015,Total,0.3076086076572676,-0.5603811226304048
2015,ZS2-CTH,-0.40122985337922096,-0.7641048029087355
2015,ZS3-CHA,0.40641601496937046,0.18827685341580905
2015,ZS4-LAR,-0.06462062427082976,-0.7644754361243506
2016,Total,-0.022952418456842115,-0.20864623092719312
2016,ZS2-CTH,0.5684369075472334,-0.3358680402902178
2016,ZS3-CHA,-0.1610106588826318,0.19837208844233695
2016,ZS4-LAR,0.20281473405950065,-0.4346641763083227
2017,Total,0.6411124222859614,-1.1875898406259866
2017,ZS2-CTH,0.8241524529636328,-0.02642607614985412
2017,ZS3-CHA,0.5330852296602588,-1.5622388711353412
2017,ZS4-LAR,0.7008710916381967,0.6083523222382285
2018,Total,0.2170848088795582,-0.477150412677227
2018,ZS2-CTH,0.180768771104759,0.0033323712221968093
2018,ZS3-CHA,0.33916228019063327,-0.49412165396754937
2018,ZS4-LAR,-0.8691762530939287,0.11208623947290408
