Label,Type,Count,Total,Proportion
Suchy,Categorical Agreement,4,14,0.2857142857142857
Allen,Categorical Agreement,13,39,0.3333333333333333
Suchy,Timing Window Overlap,3,14,0.21428571428571427
Allen,Timing Window Overlap,4,39,0.10256410256410256
