year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_flux_mult,model_N_free_used_gN_m2,avg_obs,avg_model
2015,13,20,14,2015-06-27 12:00:00,234.223,0.01177,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,234.223,3.2806912940999995,11.77,2015-06-28,4499,0.002422876888886,0.0001171973490272,0.206184461712837,0.0194640532135963,0.912562072277069,1.18866372108459,0.205702006816864,0.784512042999268,0.837124466896057,0.0026244681794196,0.0801452621817589,0.161917239427567,0.0379462912678719,0.938334286212921,0.505581498146057,0.850993096828461,0.890109479427338,2.02553582191467,0.287285625934601,0.0577462539076805,,0.717135,1.759115111189311,4.165254168810689,0.717135,2.987049548350053,3.2806912940999995,2.987049548350053
2015,13,52,34,2015-06-27 12:00:00,217.905,0.01095,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,217.905,3.0521299635,10.95,2015-06-28,4499,0.0025160426739603,0.0001203123974846,0.208747088909149,0.0127046555280685,0.918685555458069,1.29178524017334,0.21284008026123,0.740565299987793,0.848311901092529,0.0027656122110784,0.0817146077752113,0.147290080785751,0.0440413504838943,1.01025390625,0.485798448324203,1.0251806974411,0.977042436599731,2.69057512283325,0.381759881973267,0.0683454275131226,,1.0,1.962583699766313,3.9617855802336877,1.0,3.9617855802336877,3.0521299635,3.9617855802336877
2015,13,77,35,2015-06-27 12:00:00,189.5475,0.0095249999999999,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,189.5475,2.65493496825,9.525,2015-06-28,4499,0.0027467876207083,0.0001275067479582,0.213026940822601,0.0225895363837481,0.975055754184723,1.27899813652039,0.216128438711166,0.797614276409149,0.826105237007141,0.0029116740915924,0.0881647616624832,0.158245757222176,0.0394723825156689,0.958443284034729,0.494337886571884,0.891110956668854,0.809400677680969,2.0503146648407,0.284359753131866,0.0653970241546631,,0.717135,1.7907210529090376,4.133648227090963,0.717135,2.9643838213348777,2.65493496825,2.9643838213348777
2015,13,69,35,2015-06-27 12:00:00,177.65724999999998,0.0089275,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,177.65724999999998,2.488391803575,8.9275,2015-06-28,4499,0.0026914386544376,0.0001257717376574,0.211315721273422,0.004540984518826,0.946929514408112,1.26428329944611,0.211531117558479,0.779042482376099,0.830536067485809,0.0028450228273868,0.0839239880442619,0.159672558307648,0.0414149016141891,0.998603343963623,0.503493249416351,0.935822010040283,0.851997971534729,2.44573545455933,0.360769987106323,0.0668324530124664,,1.0,1.8835708914678553,4.040798388532146,1.0,4.040798388532146,2.488391803575,4.040798388532146
2015,13,68,19,2015-06-27 12:00:00,199.89550000000003,0.010045,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,199.89550000000003,2.7998762998500006,10.045000000000002,2015-06-28,4499,0.0026954314671456,0.0001265427563339,0.212270185351372,0.0312935411930084,0.422702848911285,1.20700752735138,0.204503908753395,0.709849059581757,0.797090411186218,0.0027932859957218,0.0791386365890503,0.14558045566082,0.0403911024332047,0.976005673408508,0.461260616779327,0.951543569564819,1.17996895313263,2.56310939788818,0.377862215042114,0.063518114387989,,1.0,1.8354532200284295,4.088916059971571,1.0,4.088916059971571,2.7998762998500006,4.088916059971571
2015,13,60,37,2015-06-27 12:00:00,208.6515,0.010485,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,208.6515,2.92251896505,10.485,2015-06-28,4499,0.0025853784754872,0.0001226458407472,0.210650116205215,0.0037491533439606,0.945995807647705,1.30179715156555,0.215213716030121,0.782678365707397,0.869656920433044,0.0028161164373159,0.084451287984848,0.17039643228054,0.0443156361579895,1.03921103477478,0.51942241191864,1.00840854644775,0.935565412044525,2.64079403877258,0.383140206336975,0.07175462692976,,1.0,1.9769596009389476,3.947409679061053,1.0,3.947409679061053,2.92251896505,3.947409679061053
2015,13,21,6,2015-06-27 12:00:00,151.513625,0.00761375,2,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,151.513625,2.1222058912875,7.61375,2015-06-28,4499,0.0024030755739659,0.0001163610140793,0.206291571259499,0.0329239256680012,0.407097190618515,1.12513017654419,0.215717777609825,0.822448670864105,0.866335034370422,0.0026149959303438,0.0857087448239326,0.197256818413734,0.0416255854070187,1.03691017627716,0.602095782756805,0.87554407119751,1.63302206993103,2.00488471984863,0.277199059724808,0.0675194039940834,,0.717135,1.8485007572816676,4.075868522718332,0.717135,2.9229479730396113,2.1222058912875,2.9229479730396113
2015,13,14,20,2015-07-01 00:00:00,281.0875,0.014125,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,281.0875,3.93710828625,14.125,2015-07-01,4500,0.0024073554668575,0.0001179084792966,0.209494367241859,0.0160946622490883,0.998626947402954,1.22048950195313,0.216147273778915,0.799789071083069,0.901454150676727,0.0026979411486536,0.085792101919651,0.16669388115406,0.0451774373650551,1.08757495880127,0.567881643772125,0.993529558181763,1.54293465614319,2.6147940158844,0.368251144886017,0.0705895274877548,,1.0,2.096254706493347,3.8281145735066535,1.0,3.8281145735066535,3.93710828625,3.8281145735066535
2015,14,106,34,2015-07-02 00:00:00,56.41649999999999,0.002835,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,56.41649999999999,0.7902089905499999,2.835,2015-07-01,4500,0.0025944518856704,0.000127726845676,0.232903480529785,0.0387609861791134,0.103516079485416,1.26342582702637,0.234114333987236,0.960822224617004,1.1461386680603,0.0030769957229495,0.0886638686060905,0.120364964008331,0.0435221642255783,1.16367471218109,0.66383022069931,0.898273468017578,0.84352433681488,2.28974199295044,0.347281754016876,0.0861305892467499,,1.0,1.8533660367387341,4.071003243261266,1.0,4.071003243261266,0.7902089905499999,4.071003243261266
2015,14,5,4,2015-07-02 00:00:00,419.1934999999999,0.0210649999999999,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,419.1934999999999,5.871517596449999,21.065,2015-07-01,4500,0.0022349196951836,0.0001126014030887,0.214682206511497,0.044284250587225,0.006178016308695,1.07537877559662,0.260456442832947,1.06593871116638,1.2097419500351,0.0026613604277372,0.0980758592486382,0.193128511309624,0.056797694414854,1.11093592643738,0.931103646755219,0.987360775470734,2.673264503479,1.92666840553284,0.230673342943192,0.11359840631485,,1.0,2.147776629938861,3.7765926500611395,1.0,3.7765926500611395,5.871517596449999,3.7765926500611395
2015,14,12,4,2015-07-02 00:00:00,307.3555,0.015445,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,307.3555,4.3050362818500005,15.445000000000002,2015-07-01,4500,0.0023580959532409,0.0001162836051662,0.210519716143608,0.0347600691020489,0.311699002981186,1.18489730358124,0.227754026651382,0.918164372444153,1.00143301486969,0.002676285104826,0.0921838879585266,0.193146854639053,0.0472246743738651,1.1881138086319,0.728073477745056,0.952100694179535,1.72096848487854,2.38929414749146,0.303837478160858,0.0839746594429016,,1.333872,2.0404201554771295,3.883949124522871,1.333872,5.180690986625571,4.3050362818500005,5.180690986625571
2015,14,108,31,2015-07-02 00:00:00,170.44349999999997,0.008565,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,170.44349999999997,2.38735097145,8.565,2015-07-01,4500,0.0025975971948355,0.0001276363036595,0.234078288078308,0.0385336168110371,0.005334363784641,1.25302982330322,0.224983751773834,0.979085326194763,1.16593861579895,0.0030191645491868,0.081167459487915,0.105501092970371,0.045418057590723,1.22433722019196,0.719950973987579,0.867313504219055,0.520496487617493,2.27589583396912,0.357855319976807,0.0911415442824364,,1.0,1.7944617993431173,4.129907480656883,1.0,4.129907480656883,2.38735097145,4.129907480656883
2015,14,118,35,2015-07-02 00:00:00,122.0865,0.006135,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,122.0865,1.71002897955,6.135000000000001,2015-07-01,4500,0.0028063911013305,0.000136382819619,0.243990823626518,0.0265275575220585,0.914363920688629,1.33233320713043,0.234361812472343,0.965503871440887,1.10513687133789,0.003180282888934,0.0941669270396233,0.196308016777039,0.0429212003946304,1.14316403865814,0.635396718978882,0.947496175765991,1.05515825748444,2.46319699287415,0.369648635387421,0.0861668065190315,,1.0,2.087705820799806,3.8366634592001945,1.0,3.8366634592001945,1.71002897955,3.8366634592001945
2015,14,127,29,2015-07-03 00:00:00,190.642,0.00958,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,190.642,2.6702653014,9.58,2015-07-04,4501,0.0035538705997169,0.0001692497462499,0.286619395017624,0.0515797808766365,0.0062118335627019,1.32950294017792,0.270212888717651,1.09785032272339,1.21636867523193,0.0037706342991441,0.105889596045017,0.290076285600662,0.0480229258537292,1.36793577671051,0.859189033508301,1.00866186618805,2.25777888298035,2.41779828071594,0.342899203300476,0.0976962670683861,,1.0,2.2988746367706914,3.625494643229309,1.0,3.625494643229309,2.6702653014,3.625494643229309
2015,14,126,32,2015-07-03 00:00:00,265.068,0.01332,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,265.068,3.7127279556,13.32,2015-07-04,4501,0.0034107081592083,0.0001631114864721,0.277775168418884,0.0538040362298489,0.0061998604796826,1.30602562427521,0.2689388692379,1.02857291698456,1.13390958309174,0.0036627801600843,0.106939882040024,0.33527860045433,0.046141691505909,1.31530773639679,0.80035662651062,1.03972923755646,2.85813093185425,2.77875232696533,0.362542182207108,0.0934573858976364,,1.0,2.4321614697445204,3.49220781025548,1.0,3.49220781025548,3.7127279556,3.49220781025548
2015,14,128,31,2015-07-03 00:00:00,249.4465,0.012535,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,249.4465,3.49392229155,12.535,2015-07-04,4501,0.0035641435533762,0.0001693859230726,0.285554111003876,0.0458579026162624,0.106017954647541,1.34401762485504,0.266845703125,1.07655692100525,1.18539690971375,0.0037646642886102,0.104776717722416,0.297088623046875,0.0463260859251022,1.32646596431732,0.820763647556305,1.00096666812897,2.24589824676514,2.57938718795776,0.376249194145203,0.0941116660833359,,1.333872,2.3249211607389157,3.5994481192610848,1.333872,4.801203061735022,3.49392229155,4.801203061735022
