Label,RMSE,MAE,MSE,Bias,R,Willmott Skill,Obs StdDev,Model StdDev
sat,12.28,10.29,150.71,1.57,0.77,0.86,18.93,15.23
C09,13.42,10.26,180.1,0.56,0.34,0.6,11.7,11.58
