timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_total_init_used_gN_m2,model_N_bound_init_used_gN_m2,model_N_free_init_used_gN_m2,model_N_free_used_gN_m2
14,0.004913503,0.0001964217,0.3337595,0.05985192,0.8313819,0.8442029,0.2535759,1.258888,1.812528,0.003867611,0.08109251,0.4489255,0.09970164,1.845121,1.196721,0.3933012,1.272997,1.005844,0.3238173,0.04831549,10.02224,16.03508,1978-02-10,Fall,1978,2,41,3,1.1,3.2554000040432003,2.5706752759568,5.82607528,3.3581669354784,2.4679083445216006,2.8277428035524803
15,0.004959146,0.0001984679,0.3395712,0.06074554,0.8133911,0.8304895,0.2447388,1.230176,1.805477,0.003959887,0.08547689,0.4506235,0.08930595,1.651701,1.038041,0.3770946,0.9561261,1.024715,0.378354,0.02851877,9.732759,15.53143,1978-02-13,Fall,1978,2,44,4,1.1,3.0960048673584,2.7300704126416004,5.82607528,3.3581669354784,2.4679083445216006,3.0030774539057608
16,0.005004055,0.0002003449,0.344985,0.06155837,0.7954181,0.8160841,0.2352281,1.196976,1.782909,0.004049275,0.0889534,0.4515324,0.07860032,1.470994,0.8921998,0.2926497,0.5967071,0.8035269,0.2818694,0.02121805,9.461565,14.98682,1978-02-16,Fall,1978,2,47,4,1.1,2.8479141610224,2.9781611189776003,5.82607528,3.3581669354784,2.4679083445216006,3.2759772308753607
17,0.005047927,0.0002020384,0.3498943,0.0622749,0.7776391,0.8017687,0.2257693,1.161115,1.746256,0.004138228,0.09140166,0.451801,0.06785857,1.303955,0.7618022,0.2383455,0.4851824,0.7667623,0.280629,0.01638066,9.189178,14.39747,1978-02-19,Fall,1978,2,50,4,1.2,2.6971102858784,3.1289649941216005,5.82607528,3.3581669354784,2.4679083445216006,3.7547579929459203
18,0.005090558,0.0002035467,0.3542686,0.06290402,0.7602887,0.787882,0.2169854,1.12561,1.702445,0.004228983,0.0928856,0.4515369,0.06010557,1.207701,0.6597763,0.2547346,0.7320787,1.067092,0.4414938,0.01149177,8.951049,13.89449,1978-02-22,Fall,1978,2,53,4,1.2,2.7324036363952002,3.0936716436048,5.82607528,3.3581669354784,2.4679083445216006,3.71240597232576
19,0.005131807,0.0002048741,0.3581579,0.06345342,0.7433633,0.7740808,0.2085971,1.090575,1.654914,0.004317943,0.09366709,0.4508222,0.05414537,1.13809,0.5770028,0.2140177,0.5959069,0.9438019,0.3570454,0.009810557,8.766526,13.46326,1978-02-25,Fall,1978,2,56,4,1.2,2.5857588667536002,3.2403164132464,5.82607528,3.3581669354784,2.4679083445216006,3.88837969589568
20,0.005171534,0.0002060238,0.3615399,0.06390993,0.7270247,0.7610604,0.2008664,1.055496,1.60167,0.004409571,0.09370267,0.449742,0.048294,1.0605,0.5047101,0.1814885,0.5977088,0.9205458,0.3347387,0.008996817,8.587789,13.02586,1978-02-28,Fall,1978,2,59,5,1.2,2.4926038048607997,3.3334714751392007,5.82607528,3.3581669354784,2.4679083445216006,4.00016577016704
21,0.005209622,0.0002070018,0.3644089,0.0642836,0.7112608,0.7484444,0.1936961,1.02152,1.54613,0.00449965,0.0931214,0.4482821,0.04381586,1.006701,0.4468912,0.1743267,0.7575778,1.036543,0.3746771,0.008180482,8.433437,12.63938,1978-03-03,Spring,1978,3,62,5,1.1,2.4775173019807997,3.3485579780192007,5.82607528,3.3581669354784,2.4679083445216006,3.683413775821121
22,0.005245959,0.0002078142,0.3668231,0.06460059,0.6962348,0.7358629,0.1872861,0.9913872,1.494764,0.004585168,0.09215704,0.446491,0.04234128,1.018865,0.4097482,0.2171447,1.304495,1.38767,0.5518081,0.006695682,8.338447,12.40623,1978-03-06,Spring,1978,3,65,5,1.1,2.6327328994432,3.1933423805568,5.82607528,3.3581669354784,2.4679083445216006,3.5126766186124807
23,0.005280511,0.0002084716,0.3689125,0.06488557,0.6819018,0.7232143,0.1815989,0.9659134,1.452078,0.004664546,0.09109778,0.4445555,0.04390534,1.090343,0.3911412,0.280126,1.647597,1.589526,0.6182798,0.005073953,8.308374,12.34622,1978-03-09,Spring,1978,3,68,5,1.1,2.7386888286016005,3.0873864513984,5.82607528,3.3581669354784,2.4679083445216006,3.39612509653824
