Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-04-07,98,late
1981,1981-03-21,80,avg
1982,1982-03-24,83,avg
1983,1983-04-11,101,late
1984,1984-04-04,95,cusp
1985,1985-04-20,110,late
1986,1986-04-17,107,late
1987,1987-05-11,131,late
1988,1988-04-10,101,late
1989,1989-04-14,104,late
1990,1990-03-27,86,avg
1991,1991-04-14,104,late
1992,1992-03-26,86,avg
1993,1993-03-27,86,avg
1994,1994-04-02,92,avg
1995,1995-04-23,113,late
1996,1996-03-26,86,avg
1997,1997-04-08,98,late
1998,1998-04-17,107,late
1999,1999-04-11,101,late
2000,2000-04-01,92,avg
2001,2001-04-11,101,late
2002,2002-04-23,113,late
2003,2003-04-29,119,late
2004,2004-04-04,95,cusp
2005,2005-02-28,59,early
2006,2006-04-29,119,late
2007,2007-04-11,101,late
2008,2008-04-13,104,late
2009,2009-04-05,95,cusp
2010,2010-04-11,101,late
2011,2011-04-11,101,late
2012,2012-04-10,101,late
2013,2013-03-27,86,avg
2014,2014-04-14,104,late
2015,2015-03-09,68,early
2016,2016-04-01,92,avg
2017,2017-04-14,104,late
2018,2018-04-23,113,late
