Label,Type,Count,Total,Proportion
Suchy,Categorical Agreement,12,14,0.8571428571428571
Allen,Categorical Agreement,20,39,0.5128205128205128
Suchy,Timing Window Overlap,4,14,0.2857142857142857
Allen,Timing Window Overlap,13,39,0.3333333333333333
