Group,Model,Level,Stratum,N,Bias,RMSE,MAE,R,WSS,Obs_STD,Model_STD,Centered_RMSE
Diatoms,Ecospace,Season,Spring,236,-0.10728655048143403,1.3693546764373643,1.0257916914342518,0.18498328046784573,0.4555605698313211,1.1746983120525138,0.945945411165926,1.3651453497582862
Diatoms,Ecospace,Season,Summer,104,0.4519057732579031,1.008689117186743,0.8051514028083854,0.21934893968085445,0.4573073149541512,0.6361705788358479,0.7937560337343991,0.9017953799100699
Diatoms,Ecospace,Season,Fall,75,0.33240876031229033,1.2858421771912278,0.993933221392922,0.22537870539536065,0.46173741685973513,0.9018818101091022,1.0812287143691548,1.2421330527409384
Diatoms,Ecospace,Season,Winter,49,-0.9729149277135388,1.031510185964252,0.9729149277135388,0.5738975233456128,0.38695785239871083,0.37049265858977515,0.37198074421688576,0.342709508447264
Diatoms,Ecospace,sdomain,SGS,240,0.0012063266015286918,1.2905820902231895,0.9861822595043708,0.16531466981520015,0.43717343518201524,0.9998246301464255,0.9979144919948469,1.2905815264372054
Diatoms,Ecospace,sdomain,SGI,77,1.7013807390359543e-16,1.2463231200722957,0.9656771348775407,0.21312012097855826,0.48814427298926544,0.9934852726704042,0.993485272670404,1.2463231200722957
Diatoms,Ecospace,sdomain,SGN,147,-0.009204886487789334,1.181308651946411,0.9319695677984247,0.3031592787262003,0.5488407281274329,1.0046137050083257,0.99659283506935,1.1812727886598393
Diatoms,Ecospace,sdomain_Season,SGS_Spring,119,-0.04586059294332843,1.4174283998379327,1.0650749044877248,0.10920500302062386,0.4075108624107123,1.1427709219631803,0.9713474295527978,1.4166863007321022
Diatoms,Ecospace,sdomain_Season,SGI_Spring,41,-0.22344512466256808,1.4588947135814974,1.1115503586641668,0.1309026133812641,0.4263743354727505,1.2210571861838175,0.9427917464020392,1.441681678312022
Diatoms,Ecospace,sdomain_Season,SGN_Spring,76,-0.14080217423943497,1.2364241313825244,0.9180179057791227,0.3396650831444646,0.5460455469638157,1.1964783956747238,0.8988665119982242,1.2283807961680604
Diatoms,Ecospace,sdomain_Season,SGN_Summer,29,0.4914717909865047,1.0540394534715063,0.8688293608818868,0.09021632175630684,0.4466602633878557,0.5878212932439232,0.7787948589884591,0.9324455201989169
