Label,Type,Count,Total,Proportion
Satellite,Categorical Agreement,11,14,0.7857142857142857
C09,Categorical Agreement,18,39,0.46153846153846156
Satellite,Timing Window Overlap,2,14,0.14285714285714285
C09,Timing Window Overlap,18,39,0.46153846153846156
