year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC
2015,2,128,31,2015-01-26 00:00:00,329.942,0.01658,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,329.942,4.6213986114,16.580000000000002,2015-01-26,4448,0.00507704308256507,0.000247975462116301,0.307630360126495,0.0430192165076733,0.0742629393935204,0.614307284355164,0.102991431951523,0.474068194627762,0.32380536198616,0.00270662782713771,0.0120860785245895,0.180141359567642,0.0154413683339953,0.117175079882145,0.141905426979065,0.617463052272797,0.804894804954529,0.713610351085663,0.111777745187283,0.0961360409855843
2015,2,126,32,2015-01-27 00:00:00,519.1909999999999,0.026089999999999995,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,519.1909999999999,7.272152579699999,26.089999999999996,2015-01-26,4448,0.0049035893753171,0.000241028988966718,0.298206180334091,0.0384758897125721,0.00658029969781637,0.634595811367035,0.107963979244232,0.474511951208115,0.317752659320831,0.00259699625894427,0.0112760784104466,0.174792170524597,0.0131641542539001,0.0849864408373833,0.113429203629494,0.624162316322327,0.812509953975677,0.720307469367981,0.104988686740398,0.0855149701237679
2015,2,127,29,2015-01-27 00:00:00,322.579,0.016210000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,322.579,4.5182672793,16.21,2015-01-26,4448,0.00506734708324075,0.000247950461925939,0.307862192392349,0.0465345270931721,0.0100321182981133,0.597200393676758,0.0996663793921471,0.46944272518158,0.327165752649307,0.00270415097475052,0.0121443523094058,0.178253918886185,0.017033688724041,0.232624784111977,0.273486286401749,0.605944931507111,1.37158620357513,1.24616897106171,0.20306858420372,0.103754743933678
2015,4,19,10,2015-02-15 00:00:00,507.251,0.025490000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,507.251,7.1049125817,25.490000000000002,2015-02-16,4455,0.00436564115807414,0.000199536108993925,0.234217494726181,0.0320747457444668,0.00608365563675761,0.48617959022522,0.0843015760183334,0.350158452987671,0.245448529720306,0.00182193785440177,0.00658427830785513,0.114169843494892,0.0182046387344599,0.170978188514709,0.187755227088928,0.677342534065247,1.82853436470032,1.50773930549622,0.236064970493317,0.0624645352363586
2015,4,20,14,2015-02-15 00:00:00,497.102,0.02498,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,497.102,6.962758583399999,24.98,2015-02-16,4455,0.004348274320364,0.000198294976144098,0.233134269714355,0.0182358417659998,0.610352277755737,0.469865024089813,0.0797450318932533,0.335116386413574,0.237009048461914,0.00180413923226297,0.00647398037835956,0.112979784607887,0.0157937724143267,0.1378064006567,0.156748786568642,0.642630577087402,1.69124448299408,1.44216644763947,0.22932893037796,0.0600915625691414
2015,4,21,6,2015-02-15 00:00:00,506.1565,0.025435000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,506.1565,7.08958224855,25.435000000000002,2015-02-16,4455,0.00439015217125416,0.000201352202566341,0.236159473657608,0.0256149545311928,0.30422180891037,0.505282998085022,0.0895684957504272,0.370862811803818,0.260003387928009,0.00185368699021637,0.00681580882519484,0.11666152626276,0.021184740588069,0.222139656543732,0.230526983737946,0.713263869285583,1.93413162231445,1.618532538414,0.240305036306381,0.0641669034957886
2015,4,14,20,2015-02-16 00:00:00,473.7195,0.023805,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,473.7195,6.63524692065,23.805,2015-02-16,4455,0.00410806387662888,0.000186815916094929,0.220861583948135,0.0150482477620244,0.471626847982407,0.411683261394501,0.0659149363636971,0.283100485801697,0.208914935588837,0.00161144987214357,0.00525100203230977,0.100123517215252,0.0104424292221665,0.0691526755690575,0.0988470837473869,0.554473757743835,1.29353153705597,1.25114643573761,0.201745957136154,0.0541364327073097
2015,4,17,22,2015-02-16 00:00:00,480.6845,0.024155000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,480.6845,6.73280358615,24.155,2015-02-16,4455,0.00416180025786161,0.000189327998668887,0.223924547433853,0.0295474417507648,0.236040145158768,0.416791945695877,0.0670028850436211,0.290343165397644,0.214118719100952,0.00165330723393708,0.005504434928298,0.102467030286789,0.0110953571274877,0.0752671733498573,0.1047448143363,0.56627357006073,1.34269642829895,1.26859450340271,0.204667940735817,0.0551163777709007
2015,4,18,19,2015-02-16 00:00:00,464.26699999999994,0.023329999999999997,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,464.26699999999994,6.502848588899999,23.33,2015-02-16,4455,0.00421529170125723,0.000191893093870021,0.226767390966415,0.0249473657459021,0.376581847667694,0.422523945569992,0.068671390414238,0.298261821269989,0.219195827841759,0.00169732118956745,0.00576737709343433,0.104960866272449,0.0121177649125457,0.0871373042464256,0.118887111544609,0.57717490196228,1.33895087242126,1.2603075504303,0.201272025704384,0.0564255379140377
2015,4,41,4,2015-02-18 00:00:00,450.4364999999999,0.022635,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,450.4364999999999,6.309128924549999,22.634999999999998,2015-02-19,4456,0.00432902062311769,0.000198819529032335,0.238770514726639,0.0387488789856434,0.00302089937031269,0.47245979309082,0.0818229168653488,0.36129492521286,0.266652196645737,0.00187591090798378,0.00678631663322449,0.121290646493435,0.0174454916268587,0.198215842247009,0.226455181837082,0.643361985683441,2.07923579216003,1.72926151752472,0.28706893324852,0.0607100874185562
