N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group
17,-0.00479596167539344,0.4548301673022645,0.5842531872353143,0.5842531872353143,0.8577422374556779,0.7357217459154726,89.32929971633942,0.6988103951075397,0.9253554835776758,ZC5-CSM
17,-0.10121491224670272,0.5552646139535454,0.6546408909860534,0.6546408909860534,0.8345321523733673,0.6964439133449252,153.06860782999337,0.603191648404056,0.9054739779431669,Total
17,-0.11559204882263113,0.6823687795728237,0.8363876434612529,0.8363876434612529,0.7286360188382461,0.530910447948449,152.7916427940781,0.32141534658801996,0.8402130746582063,ZC1-EUP
17,-0.132967423761149,0.78812204365497,0.9138557689986985,0.9138557689986985,0.6627976495890121,0.43930072430071887,377.24513098826634,0.23574844433033604,0.7928959577385506,ZC2-AMP
17,-0.23390979574161716,0.7660557104222749,0.992924615990844,0.992924615990844,0.6317473269866785,0.39910468515481323,191.23763127932085,0.1944540537824645,0.7819631670808989,ZC4-CLG
17,-0.004490458602408291,0.7284769605912907,0.9200815840613575,0.9200815840613575,0.6279097313125112,0.39427063067694995,663.2180591685526,-0.08046816398816992,0.7662181072464035,ZC3-DEC
