date,ewe_row,ewe_col,n_depths,min_depth,max_depth,pad_surface,pad_deep,extrap_surface,extrap_deep,cast_nitrogen_int_mmol_m2,cast_nitrogen_avg_mmol_L,year,day_of_year,biweekly,date_rep,zmin_m,zmax_m,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,avg_nitrogen_primary_mmol_m2_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_flux_mult,model_N_free_used_gN_m2,avg_obs,avg_model
2012-06-15,48,14,4,1.8837758,19.927485,True,True,False,False,164.601617715,0.0082714380761306,2012,167,12,2012-06-15,0.1,20.0,1,4,19.927485,1.0,1.0,0.0,0.0,164.601617715,0.0082714380761306,2.3055254788486907,8.271438076130654,164.601617715,2012-06-15,4135,0.0020542233251035,8.56659607961774e-05,0.174038425087929,0.0259016621857882,0.804028034210205,0.884089231491089,0.195159837603569,0.967606544494629,0.993367969989777,0.0017083532875403,0.0899084806442261,0.192463755607605,0.0480104237794876,1.0871285200119,0.739609599113464,0.80167293548584,2.54701900482178,1.75172245502472,0.240743488073349,0.0768614932894707,,0.717135,2.0456796982139354,3.878689581786065,0.717135,2.7815440532341498,2.3055254788486907,2.7815440532341498
2012-07-08,38,5,6,2.0820563,18.341194,True,True,False,False,163.33215967,0.0082076462145728,2012,190,14,2012-07-08,0.1,20.0,1,6,18.341194,1.0,1.0,0.0,0.0,163.33215967,0.0082076462145728,2.2877445608497893,8.207646214572865,163.33215967,2012-07-09,4143,0.0020096127409488,9.08705987967551e-05,0.191937908530235,0.0425386391580105,0.0057650795206427,1.06772565841675,0.218681424856186,1.07704377174377,1.15224146842957,0.0021614404395222,0.0995199829339981,0.207223892211914,0.0505402497947216,1.29251849651337,0.871427536010742,0.902398824691772,2.21714353561401,2.1601939201355,0.316727459430695,0.0924985855817795,,1.0,2.106788350894116,3.8175809291058846,1.0,3.8175809291058846,2.2877445608497893,3.8175809291058846
2012-07-11,51,3,5,1.9829414,18.44061,True,True,False,False,240.64125508,0.0120925253809045,2012,193,14,2012-07-11,0.1,20.0,1,5,18.44061,1.0,1.0,0.0,0.0,240.64125508,0.0120925253809045,3.370589867529036,12.092525380904522,240.64125508,2012-07-12,4144,0.0020125368610024,9.35855277930386e-05,0.203719258308411,0.0388317033648491,0.0055166664533317,1.17692911624908,0.224680602550507,1.15118360519409,1.30057966709137,0.0023495650384575,0.0985104590654373,0.210186094045639,0.0508437305688858,1.32684576511383,0.877475500106812,0.899355411529541,0.965721964836121,2.25673341751099,0.352368116378784,0.0994426161050797,,1.0,1.9788347712144019,3.945534508785599,1.0,3.945534508785599,3.370589867529036,3.945534508785599
2013-04-08,10,13,3,2.0819857,19.926708,True,True,False,False,139.28805184499998,0.006999399590201,2013,98,7,2013-04-08,0.1,20.0,1,3,19.926708,1.0,1.0,0.0,0.0,139.28805184499998,0.006999399590201,1.950965955777361,6.999399590201005,139.28805184499998,2013-04-08,4232,0.002134206239134,8.91951203811914e-05,0.151676461100578,0.0336164683103561,0.0680501088500023,0.418262839317322,0.0903783962130547,0.383702665567398,0.504091024398804,0.0012361083645373,0.0121717173606157,0.132414251565933,0.051886260509491,0.766634464263916,0.617981195449829,0.50417560338974,2.89888572692871,1.8010311126709,0.3460773229599,0.058276079595089,,0.724307,1.5563277326389215,4.368041547361079,0.724307,3.163803069044461,1.950965955777361,3.163803069044461
2013-04-12,20,9,4,1.9828688,19.926956,True,True,False,False,182.86807342,0.0091893504231155,2013,102,8,2013-04-12,0.1,20.0,1,4,19.926956,1.0,1.0,0.0,0.0,182.86807342,0.0091893504231155,2.561378243971914,9.18935042311558,182.86807342,2013-04-11,4233,0.0022142899688333,9.36459691729397e-05,0.158526927232742,0.0091933645308017,0.481995522975922,0.501638412475586,0.11534920334816,0.47563824057579,0.614147245883942,0.0013703102013096,0.0190995912998915,0.149338945746422,0.0532947853207588,0.915629386901855,0.695590078830719,0.495147228240967,3.2363269329071,1.84334492683411,0.38601154088974,0.0779838711023331,,1.577698,1.8008204634175633,4.123548816582437,1.577698,6.505714720824478,2.561378243971914,6.505714720824478
2013-06-30,64,23,4,1.7846544,19.927755,True,True,False,False,150.33884289,0.0075547157231155,2013,181,13,2013-06-30,0.1,20.0,1,4,19.927755,1.0,1.0,0.0,0.0,150.33884289,0.0075547157231155,2.105751070707363,7.554715723115578,150.33884289,2013-07-01,4260,0.0023855199106037,0.0001056360124493,0.196796491742134,0.0124872913584113,1.00638401508331,1.21944105625153,0.200632438063622,0.84924590587616,0.852371156215668,0.0024353160988539,0.0948592945933342,0.184107750654221,0.0338453352451324,0.652573883533478,0.403366565704346,0.888474106788635,0.875939249992371,1.72564625740051,0.216653391718864,0.0722037628293037,,0.717135,1.6702319788128368,4.254137301187164,0.717135,3.050790753486857,2.105751070707363,3.050790753486857
2013-06-30,71,30,4,1.9829559,19.828691,True,True,False,False,172.476306675,0.0086671510891959,2013,181,13,2013-06-30,0.1,20.0,1,4,19.828691,1.0,1.0,0.0,0.0,172.476306675,0.0086671510891959,2.4158238847047224,8.667151089195979,172.476306675,2013-07-01,4260,0.0024311130400747,0.0001071589649654,0.197249114513397,0.0154418228194118,1.01235091686249,1.22792553901672,0.204043373465538,0.83929979801178,0.837917447090149,0.0024890298955142,0.0949253737926483,0.181507423520088,0.0345530807971954,0.655294179916382,0.409340798854828,0.915253460407257,0.846559286117554,1.78105628490448,0.219223275780678,0.0737259835004807,,0.717135,1.6809222251838074,4.243447054816193,0.717135,3.0431244036556104,2.4158238847047224,3.0431244036556104
2013-06-30,85,44,4,1.7846746,19.729702,True,True,False,False,192.49880675000003,0.0096733068718592,2013,181,13,2013-06-30,0.1,20.0,1,4,19.729702,1.0,1.0,0.0,0.0,192.49880675000003,0.0096733068718592,2.6962730365052257,9.673306871859298,192.49880675000003,2013-07-01,4260,0.0024320257361978,0.000107671963633,0.198058664798737,0.00661545060575,1.05668103694916,1.30595743656158,0.214894115924835,0.898493230342865,0.902066648006439,0.0025901449844241,0.0993788689374924,0.194909945130348,0.0395699739456177,0.559074282646179,0.390893369913101,1.11523044109344,0.803260445594788,1.8510856628418,0.200421631336212,0.0955095514655113,,1.0,1.7489525853849472,4.175416694615054,1.0,4.175416694615054,2.6962730365052257,4.175416694615054
2013-07-01,20,9,4,1.7845827,19.827822,True,True,False,False,293.54447731,0.0147509787592964,2013,182,13,2013-07-01,0.1,20.0,1,4,19.827822,1.0,1.0,0.0,0.0,293.54447731,0.0147509787592964,4.111589430337977,14.750978759296483,293.54447731,2013-07-01,4260,0.0021422579884529,9.76700248429552e-05,0.190614253282547,0.0143463807180524,1.11168074607849,1.1028059720993,0.213440954685211,0.910372972488403,0.921001613140106,0.0022645306307822,0.0965059176087379,0.181572735309601,0.0416473634541035,0.989635109901428,0.627287983894348,0.837007641792297,1.76194953918457,1.88252651691437,0.237557515501976,0.0723772421479225,,0.717135,1.970642945364815,3.9537263346351854,0.717135,2.8353555349886035,4.111589430337977,2.8353555349886035
2013-07-07,7,17,6,2.0819721,18.736986,True,True,False,False,318.869895315,0.0160236128298995,2013,188,14,2013-07-07,0.1,20.0,1,6,18.736986,1.0,1.0,0.0,0.0,318.869895315,0.0160236128298995,4.466314962708611,16.0236128298995,318.869895315,2013-07-07,4262,0.0021042700391262,9.94280271697789e-05,0.19577968120575,0.0488415062427521,0.0022697569802403,0.460341453552246,0.159700483083725,0.387709081172943,0.583654224872589,0.0023886577691882,0.0174834989011288,0.105873547494411,0.0304681826382875,0.837442576885223,0.469933062791824,0.420744359493256,1.32424998283386,1.18869149684906,0.267392545938492,0.0853647142648697,,1.0,1.1599337219423609,4.76443555805764,1.0,4.76443555805764,4.466314962708611,4.76443555805764
