year,biweekly,ewe_row,ewe_col,date_rep,model_time,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,N_FLUX_MULT
2015,1,90,46,2015-01-07,2015-01-08,0.00314686330966651,0.000150765670696273,0.218694284558296,0.00707309041172266,0.455527454614639,0.798064231872559,0.13368846476078,0.435657620429993,0.513999044895172,0.00285038794390857,0.0181812420487404,0.135194435715675,0.027590949088335,0.135055243968964,0.153144538402557,0.480135440826416,0.48777762055397,0.675615906715393,0.101919077336788,0.159145087003708,1.0
2015,1,90,47,2015-01-07,2015-01-08,0.00313723320141435,0.000150343170389533,0.217879876494408,0.0095937717705965,0.464690268039703,0.801992535591125,0.135695472359657,0.434025645256042,0.50993812084198,0.00286035798490047,0.0183656215667725,0.135483935475349,0.0272296946495771,0.128986790776253,0.146324291825294,0.484318554401398,0.487025201320648,0.66813862323761,0.0999596416950226,0.157343983650208,1.0
2015,1,90,48,2015-01-07,2015-01-08,0.00312569108791649,0.000149838480865583,0.216999068856239,0.0136714968830347,0.512033939361572,0.823962390422821,0.144316434860229,0.438587337732315,0.510804295539856,0.00290182768367231,0.0195098891854286,0.137440085411072,0.0271007940173149,0.121311917901039,0.137921735644341,0.500077903270721,0.500365734100342,0.667204976081848,0.0979916080832481,0.155640050768852,1.0
2015,1,90,49,2015-01-07,2015-01-08,0.00311235315166414,0.000149255065480247,0.216065630316734,0.019747382029891,0.497809261083603,0.817275881767273,0.142763912677765,0.432821989059448,0.50401771068573,0.00289266859181225,0.0191376861184835,0.136777192354202,0.0264898724853992,0.109938763082027,0.125415578484535,0.497363418340683,0.46199706196785,0.619504868984222,0.0913652554154396,0.154153123497963,1.0
2015,1,90,50,2015-01-07,2015-01-08,0.00309747247956693,0.000148601408000104,0.215094968676567,0.0271821022033691,0.427142143249512,0.827941417694092,0.147452503442764,0.434156239032745,0.502164840698242,0.0029137684032321,0.0196399316191673,0.138043075799942,0.0261756125837564,0.107109010219574,0.122482843697071,0.507380366325378,0.482437491416931,0.633894860744476,0.092502549290657,0.15266016125679,1.0
2015,1,90,51,2015-01-07,2015-01-08,0.00308117805980146,0.000147862534504384,0.214086592197418,0.0206678435206413,0.534748613834381,0.830733478069305,0.149378910660744,0.432686924934387,0.498639136552811,0.00292160967364907,0.0199436396360397,0.138069659471512,0.0257693715393543,0.102271430194378,0.117257408797741,0.512110710144043,0.484052956104279,0.62881875038147,0.0911162868142128,0.151283890008926,1.0
2015,1,90,52,2015-01-07,2015-01-08,0.00306305242702365,0.000147045982885174,0.213045671582222,0.0148159749805927,0.549700915813446,0.8352370262146,0.150894835591316,0.430661380290985,0.495020002126694,0.00292581366375089,0.019907433539629,0.138588488101959,0.0252791717648506,0.0974798575043678,0.112124025821686,0.515559136867523,0.483982801437378,0.620758593082428,0.0896980240941048,0.150007590651512,1.0
2015,1,90,53,2015-01-07,2015-01-08,0.00304325623437762,0.000146165228215978,0.211977392435074,0.0154701545834541,0.51257598400116,0.815884709358215,0.145033448934555,0.42051038146019,0.486140131950378,0.00289154960773885,0.0188887510448694,0.136922627687454,0.0245669726282358,0.0951353311538696,0.109902054071426,0.503994464874268,0.469995200634003,0.609860479831696,0.0894089937210083,0.14889857172966,1.0
2015,1,90,54,2015-01-07,2015-01-08,0.00302218412980437,0.000145244135637768,0.210897892713547,0.0226095095276833,0.481100142002106,0.799177587032318,0.140104755759239,0.4115871489048,0.478264421224594,0.00286103878170252,0.0180393792688847,0.135511890053749,0.0239105094224215,0.092395156621933,0.107270658016205,0.494135499000549,0.456916242837906,0.598319947719574,0.0889306664466858,0.147816985845566,1.0
2015,1,90,55,2015-01-07,2015-01-08,0.00300018605776131,0.000144301448017359,0.209825128316879,0.0305416136980057,0.282368212938309,0.786500990390778,0.136641874909401,0.404469817876816,0.471811890602112,0.00283725885674357,0.0174138117581606,0.134540691971779,0.0233455430716276,0.0894798338413239,0.104441851377487,0.487161755561829,0.446864604949951,0.588247179985046,0.0884100794792175,0.146698266267776,1.0
2015,1,91,46,2015-01-07,2015-01-08,0.00315071898512542,0.000151017855387181,0.219054788351059,0.00260310736484826,0.497192561626434,0.819552063941956,0.141046211123466,0.444552898406982,0.521317899227142,0.00289744837209582,0.0193042661994696,0.138472616672516,0.0282083433121443,0.129883155226707,0.147202700376511,0.495699644088745,0.486089110374451,0.657525479793549,0.0965899080038071,0.158870533108711,1.0
