year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,BA1-BAC,NK1-COH,NK2-CHI,NK3-FOR,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,PZ3-HNF,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZF1-ICT,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR
2015,2,128,31,2015-01-26 00:00:00,329.942,0.01658,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,329.942,4.6213986114,16.580000000000002,2015-01-26,0.102445788681507,0.00512150255963206,0.000223915179958567,0.329602241516113,0.803249061107635,0.714269936084747,0.110258206725121,0.129434108734131,0.158494353294373,0.672963917255402,0.0646082907915115,0.594539821147919,0.082907572388649,0.431770920753479,0.239325255155563,0.0271044988185167,0.00431488500908017,0.0205875001847744,0.187176138162613,0.0159995388239622
2015,2,126,32,2015-01-27 00:00:00,519.1909999999999,0.026089999999999995,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,519.1909999999999,7.272152579699999,26.089999999999996,2015-01-26,0.0925667732954025,0.004936832934618,0.000216685933992267,0.31933069229126,0.81237405538559,0.723805665969849,0.103539265692234,0.0957928150892258,0.129320383071899,0.692643463611603,0.00569677166640759,0.613521456718445,0.0862938463687897,0.430694401264191,0.22380293905735,0.0240166317671537,0.00418912665918469,0.0217773839831352,0.184005573391914,0.012732625938952
2015,2,127,29,2015-01-27 00:00:00,322.579,0.016210000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,322.579,4.5182672793,16.21,2015-01-26,0.109489060938358,0.00511344475671649,0.000223860624828376,0.32988715171814,1.36689734458923,1.2448695898056,0.200189426541328,0.255783170461655,0.304193049669266,0.655299782752991,0.0087380800396204,0.57820999622345,0.0803177654743195,0.427957326173782,0.247055381536484,0.0293232444673777,0.00431522261351347,0.0195717141032219,0.185056030750275,0.0187083166092634
2015,4,19,10,2015-02-15 00:00:00,507.251,0.025490000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,507.251,7.1049125817,25.490000000000002,2015-02-16,0.065690353512764,0.00435345293954015,0.000179067967110313,0.250161826610565,1.79908764362335,1.47417116165161,0.230443611741066,0.202598676085472,0.238477021455765,0.731414794921875,0.00534567609429359,0.466758102178574,0.0686416178941727,0.326258540153503,0.19319412112236,0.0205740761011839,0.0028661226388067,0.0139842499047518,0.117934316396713,0.0218215044587851
2015,4,20,14,2015-02-15 00:00:00,497.102,0.02498,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,497.102,6.962758583399999,24.98,2015-02-16,0.0638507306575775,0.00433793617412448,0.00017802938236855,0.249019801616669,1.66708207130432,1.41543698310852,0.22374264895916,0.16752290725708,0.204205766320229,0.705179691314697,0.536506295204163,0.450828850269318,0.0648712292313576,0.312093824148178,0.178813025355339,0.0117138456553221,0.00283711729571223,0.0126401968300343,0.114975720643997,0.0185587164014578
2015,4,21,6,2015-02-15 00:00:00,506.1565,0.025435000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,506.1565,7.08958224855,25.435000000000002,2015-02-16,0.0670787990093231,0.00437885476276278,0.000180745773832314,0.252364933490753,1.89806079864502,1.57606244087219,0.23460952937603,0.257331430912018,0.285713970661163,0.756641864776611,0.267397314310074,0.485629469156265,0.0730668306350708,0.345942467451096,0.213171288371086,0.0164582412689924,0.00291662756353617,0.0154443345963955,0.121758654713631,0.02551587857306
2015,4,14,20,2015-02-16 00:00:00,473.7195,0.023805,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,473.7195,6.63524692065,23.805,2015-02-16,0.0589266903698444,0.00409337598830462,0.000167149846674874,0.235649690032005,1.27994740009308,1.24157953262329,0.195832252502441,0.0943042039871216,0.143638432025909,0.646164774894714,0.410781890153885,0.394095540046692,0.0530605316162109,0.262587130069733,0.138489708304405,0.00958561338484287,0.00257404521107674,0.00860633980482817,0.0997089669108391,0.0123313143849373
2015,4,17,22,2015-02-16 00:00:00,480.6845,0.024155000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,480.6845,6.73280358615,24.155,2015-02-16,0.0598127320408821,0.00415103370323777,0.000169629667652771,0.239017650485039,1.32740759849548,1.25637114048004,0.198781326413155,0.10102404654026,0.149837225675583,0.653540730476379,0.205752372741699,0.399166315793991,0.0540790595114231,0.269606411457062,0.144492655992508,0.0188901294022799,0.00262821605429053,0.00891260802745819,0.10262568295002,0.0131407342851162
2015,4,18,19,2015-02-16 00:00:00,464.26699999999994,0.023329999999999997,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,464.26699999999994,6.502848588899999,23.33,2015-02-16,0.0609763227403164,0.00420592818409204,0.000172066036611795,0.242095291614532,1.32253313064575,1.24533307552338,0.195582211017609,0.113889001309872,0.16599927842617,0.657373547554016,0.328323572874069,0.404867559671402,0.0555610358715057,0.277245849370956,0.152421191334724,0.0159823782742023,0.00268786423839629,0.00938868895173073,0.105266377329826,0.0142994178459048
2015,4,41,4,2015-02-18 00:00:00,450.4364999999999,0.022635,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,450.4364999999999,6.309128924549999,22.634999999999998,2015-02-19,0.0645013824105263,0.00434847781434655,0.000179443435627036,0.254605114459991,2.03416347503662,1.68568158149719,0.27931797504425,0.239418789744377,0.291522800922394,0.689639389514923,0.00266870041377842,0.453712970018387,0.0672383382916451,0.338056087493896,0.201176911592484,0.025456827133894,0.00290178880095482,0.012270625680685,0.124178923666477,0.0208588819950819
