year,season,group,obs_anom,mod_anom
1996,Winter,ZC1-EUP,-0.3998686136512265,1.2301993122836004
1996,Winter,ZC1-EUP,-0.45585413891608145,1.2301993122836004
1996,Spring,ZC1-EUP,-0.3236498539670343,2.8324163195407093
1996,Spring,ZC1-EUP,-0.32897931186328866,2.8324163195407093
1997,Winter,ZC1-EUP,-0.4195120136050812,-0.17528188318492846
1997,Spring,ZC1-EUP,-0.3155090293919784,-0.9770437149674129
1997,Spring,ZC1-EUP,-0.2459719461463439,-1.0041823299354622
1997,Summer,ZC1-EUP,-0.4604880512272601,-1.7530650346799748
1997,Summer,ZC1-EUP,-0.603772152398837,-0.25846727644548845
1997,Summer,ZC1-EUP,-0.5883033454816687,-0.25846727644548845
1997,Summer,ZC1-EUP,2.256871348282766,-0.11415052949191136
1997,Fall,ZC1-EUP,-0.10882509924560466,-1.3235863100418521
1997,Fall,ZC1-EUP,-0.3592024380120733,-1.3235863100418521
1997,Fall,ZC1-EUP,-0.3072340359837514,-0.9335398693329934
1997,Fall,ZC1-EUP,0.2741720310227907,-0.9335398693329934
1997,Winter,ZC1-EUP,-0.3960062376168942,0.4265063801480942
1997,Winter,ZC1-EUP,-0.3847173623799538,0.4265063801480942
1998,Winter,ZC1-EUP,-0.48282767935825643,-0.2135658516762093
1998,Winter,ZC1-EUP,0.20462707996608662,-0.49580195682684897
1998,Winter,ZC1-EUP,0.43936708595876706,-0.49580195682684897
1998,Winter,ZC1-EUP,0.4960902137071222,-0.7661119937962425
1998,Winter,ZC1-EUP,-0.3806763213285516,-0.7661119937962425
1998,Winter,ZC1-EUP,,-0.7661119937962425
1998,Winter,ZC1-EUP,-0.3148137472036515,-0.7661119937962425
1998,Spring,ZC1-EUP,-0.3299249424886776,-0.7950660750979993
1998,Spring,ZC1-EUP,-0.3110304691795725,-0.7836558775229581
1998,Spring,ZC1-EUP,-0.19361846046734302,-0.7836558775229581
1998,Spring,ZC1-EUP,-0.33205120973104907,-0.740746275371236
1998,Spring,ZC1-EUP,-0.31943223588786485,-0.740746275371236
1998,Spring,ZC1-EUP,-0.02345247816601915,-0.07621840000135871
1998,Spring,ZC1-EUP,-0.06456333041625407,-0.07621840000135871
1998,Summer,ZC1-EUP,-0.24557872058859265,-0.44252465435766686
1998,Summer,ZC1-EUP,2.0522148253819137,-0.44252465435766686
1998,Summer,ZC1-EUP,-0.06417637018988712,-0.44252465435766686
1998,Summer,ZC1-EUP,8.035747883107296,0.8405077386468941
1998,Fall,ZC1-EUP,0.6518473955271858,0.3901241288628949
1998,Fall,ZC1-EUP,0.7530635465600399,0.3906104617648024
1999,Spring,ZC1-EUP,-0.28418364615248654,-0.821684890516878
1999,Spring,ZC1-EUP,-0.3108883690085426,-0.821684890516878
1999,Summer,ZC1-EUP,-0.24769273026267438,-0.4515476205214689
1999,Summer,ZC1-EUP,-0.11204861213232921,-0.4515476205214689
1999,Summer,ZC1-EUP,-0.5440208310012143,-0.4515476205214689
1999,Summer,ZC1-EUP,0.2256917518226201,1.1177830559560777
1999,Summer,ZC1-EUP,-0.2310327630299604,1.1177830559560777
2000,Spring,ZC1-EUP,0.5794143418545784,1.0957667726000744
2000,Spring,ZC1-EUP,0.09379942173084398,1.2737540547234842
2000,Summer,ZC1-EUP,-0.08971896487530293,1.2109119407178832
2000,Summer,ZC1-EUP,0.298318300661532,1.1792196224156049
2001,Spring,ZC1-EUP,-0.26091300440611814,-0.7293278625734347
2001,Spring,ZC1-EUP,-0.2116093931821371,-0.7239715373339923
2001,Summer,ZC1-EUP,1.040291569730408,1.4774809118839718
2001,Summer,ZC1-EUP,,1.4774809118839718
2001,Summer,ZC1-EUP,-0.5029727660980745,1.4774809118839718
2001,Summer,ZC1-EUP,-0.3579357512526962,1.4774809118839718
2001,Summer,ZC1-EUP,-0.09053144709963239,1.4774809118839718
2001,Summer,ZC1-EUP,-0.2864563577163411,1.4774809118839718
2002,Winter,ZC1-EUP,-0.37675960013149024,-0.6650452567797976
2002,Winter,ZC1-EUP,0.993672682423991,-0.7051041991796858
2002,Winter,ZC1-EUP,3.4815283864323643,-0.7051041991796858
2002,Winter,ZC1-EUP,-0.40662719820676085,-0.7051041991796858
2002,Winter,ZC1-EUP,0.19691279529791797,-0.7432088213489512
2002,Winter,ZC1-EUP,-0.029246128317359257,-0.7432088213489512
2002,Winter,ZC1-EUP,1.6591016024470326,-0.7432088213489512
2002,Winter,ZC1-EUP,-0.5028539329241603,-0.7786371156716437
2002,Spring,ZC1-EUP,-0.235245666198534,-0.9242616555736127
2003,Spring,ZC1-EUP,-0.31790701594493664,-0.30982199337072747
2003,Summer,ZC1-EUP,-0.5162419718763137,1.5892914801191262
2003,Fall,ZC1-EUP,-0.3862216283303059,1.383359392083945
2003,Fall,ZC1-EUP,-0.3707250330127928,3.0407092513563443
2003,Winter,ZC1-EUP,0.4032485070040805,2.1719731964562734
2003,Winter,ZC1-EUP,1.4455878596213745,2.093751852788533
2003,Winter,ZC1-EUP,1.3097821230071574,2.093751852788533
2003,Winter,ZC1-EUP,0.32543186742698277,2.00746038686288
2004,Winter,ZC1-EUP,,0.053538138670761654
2004,Winter,ZC1-EUP,,-0.47278553734632617
2004,Spring,ZC1-EUP,0.5750700877801682,-0.601889592930003
2004,Spring,ZC1-EUP,-0.1890046786292228,-0.601889592930003
2004,Spring,ZC1-EUP,-0.31286138937082425,-0.6317735859767177
2004,Spring,ZC1-EUP,-0.3211640263584569,-0.6317735859767177
2004,Spring,ZC1-EUP,-0.22921350856411046,-0.6317735859767177
2004,Spring,ZC1-EUP,-0.18393127063000395,-0.6554364148789049
2004,Spring,ZC1-EUP,-0.2444775122379032,-0.6554364148789049
2004,Spring,ZC1-EUP,-0.33540734966651375,-0.6554364148789049
2004,Spring,ZC1-EUP,-0.3285029927726263,-0.6763045743658672
2004,Spring,ZC1-EUP,-0.2937450022812025,-0.6742096925620975
2004,Spring,ZC1-EUP,-0.33561841473915877,-0.6513892974120147
2004,Spring,ZC1-EUP,-0.2910763729805415,-0.5117222952712842
2004,Spring,ZC1-EUP,0.03892956133351544,0.41052608013723996
2004,Spring,ZC1-EUP,-0.3353982875087222,2.387009346652964
2004,Summer,ZC1-EUP,-0.5811708794927736,-0.03648375576693957
2004,Summer,ZC1-EUP,-0.5602739128980115,1.4437613637609295
2004,Summer,ZC1-EUP,-0.6183998368185125,1.4605914529440513
2004,Fall,ZC1-EUP,-0.37309639252128257,0.4597889878808003
2004,Fall,ZC1-EUP,,1.2922232149484232
2004,Fall,ZC1-EUP,-0.22384501055296,1.2922232149484232
2004,Fall,ZC1-EUP,-0.16454936372487594,1.2922232149484232
2004,Fall,ZC1-EUP,-0.22828916475636746,1.2922232149484232
2004,Fall,ZC1-EUP,-0.3053462493851585,1.2079944556955704
2004,Fall,ZC1-EUP,-0.37985119013762464,1.2079944556955704
2004,Winter,ZC1-EUP,-0.4687253895567532,1.7451811823643584
2005,Winter,ZC1-EUP,,0.049585123861800084
2005,Winter,ZC1-EUP,,-0.35178547354998646
2005,Winter,ZC1-EUP,-0.4757470102818471,-0.665374366525352
2005,Spring,ZC1-EUP,-0.3336992143823266,-0.6068605495381634
2005,Spring,ZC1-EUP,-0.30903256287325626,-0.612995827262929
2005,Spring,ZC1-EUP,-0.20749491886372745,-0.42468051645348404
2005,Spring,ZC1-EUP,-0.27307515810229827,1.1783006346379985
2005,Summer,ZC1-EUP,-0.5642924137136335,0.47502875265051275
2005,Fall,ZC1-EUP,-0.3736001777240058,1.7315513897173984
2006,Spring,ZC1-EUP,-0.3269031984770823,-0.7752367678709459
2006,Spring,ZC1-EUP,-0.33203123813183094,-0.7752367678709459
2006,Spring,ZC1-EUP,-0.2658578974057659,-0.5927654677975066
2006,Spring,ZC1-EUP,-0.29920205709002257,-0.5927654677975066
2006,Spring,ZC1-EUP,1.2670728016583606,-0.5927654677975066
2006,Fall,ZC1-EUP,-0.3488844899198372,1.885178549731555
2006,Fall,ZC1-EUP,-0.21226902497646563,1.885178549731555
2006,Fall,ZC1-EUP,-0.23765298579394453,1.885178549731555
2006,Fall,ZC1-EUP,-0.36853189723558527,1.885178549731555
2007,Winter,ZC1-EUP,-0.49437580521996616,-0.22259325803951832
2007,Winter,ZC1-EUP,-0.4864662624092861,-0.5903849545162007
2007,Spring,ZC1-EUP,-0.31339256210714683,-0.5006287571917147
2007,Spring,ZC1-EUP,-0.2676679995245453,-0.5006287571917147
2007,Spring,ZC1-EUP,0.7723343174757097,1.1246529895006798
2007,Summer,ZC1-EUP,-0.5883513127614564,-0.04853086891778839
2007,Fall,ZC1-EUP,,2.242402177922683
2008,Winter,ZC1-EUP,,-0.6859599037701021
