date,latitude,longitude,depth,nitrogen,dataset,month,season,ewe_row,ewe_col,ewe_lat,ewe_lon,ewe_dist_km
2021-02-22,48.761667,-123.318333,20.0,18.9,csop,2,Winter,133,44,48.75656127929688,-123.31668090820312,0.5956656658051432
2021-02-22,49.636667,-124.083333,0.1,24.06,csop,2,Winter,58,43,49.633567810058594,-124.08528137207033,0.40634387848973336
2021-02-22,49.636667,-124.083333,20.0,26.34,csop,2,Winter,58,43,49.633567810058594,-124.08528137207033,0.40634387848973336
2021-02-22,49.655,-124.286667,0.1,27.18,csop,2,Winter,52,34,49.65330505371094,-124.28511810302734,0.254863463255553
2021-02-22,49.655,-124.286667,20.0,27.85,csop,2,Winter,52,34,49.65330505371094,-124.28511810302734,0.254863463255553
2021-02-22,49.575,-124.155,0.1,27.42,csop,2,Winter,60,37,49.576465606689446,-124.15841674804688,0.41267779057823495
2021-02-22,49.575,-124.155,20.0,27.25,csop,2,Winter,60,37,49.576465606689446,-124.15841674804688,0.41267779057823495
2021-02-24,48.855,-123.363333,20.0,27.18,csop,2,Winter,125,46,48.86262130737305,-123.36579895019533,0.8891455888557139
2021-02-24,48.855,-123.363333,0.1,17.39,csop,2,Winter,125,46,48.86262130737305,-123.36579895019533,0.8891455888557139
2021-02-24,48.856667,-123.18,0.1,13.95,csop,2,Winter,130,55,48.85482025146485,-123.17511749267578,0.5794301847260985
2021-02-24,48.856667,-123.18,20.0,15.94,csop,2,Winter,130,55,48.85482025146485,-123.17511749267578,0.5794301847260985
2021-02-24,48.945,-123.32,0.1,21.48,csop,2,Winter,121,52,48.944068908691406,-123.31240844726562,0.8489766187531279
2021-02-24,48.945,-123.32,20.0,19.9,csop,2,Winter,121,52,48.944068908691406,-123.31240844726562,0.8489766187531279
2021-02-24,49.986667,-124.821967,0.1,25.27,csop,2,Winter,17,22,49.9955940246582,-124.82041931152344,1.0056814944958081
2021-02-24,49.986667,-124.821967,20.0,26.6,csop,2,Winter,17,22,49.9955940246582,-124.82041931152344,1.0056814944958081
2021-02-24,49.963333,-124.8567,0.1,24.58,csop,2,Winter,18,19,49.96716308593751,-124.85717010498045,0.42832995758777886
2021-02-24,49.963333,-124.8567,20.0,26.91,csop,2,Winter,18,19,49.96716308593751,-124.85717010498045,0.42832995758777886
2021-02-24,49.783333,-124.483367,0.1,26.7,csop,2,Winter,39,30,49.783016204833984,-124.4771728515625,0.6884491144913419
2021-02-24,49.783333,-124.483367,20.0,27.49,csop,2,Winter,39,30,49.783016204833984,-124.4771728515625,0.6884491144913419
2021-02-24,49.86,-125.026633,0.1,27.62,csop,2,Winter,21,6,49.859161376953125,-125.02994537353516,0.37927429912522537
2021-02-24,49.86,-125.026633,20.0,28.05,csop,2,Winter,21,6,49.859161376953125,-125.02994537353516,0.37927429912522537
2021-02-24,49.903333,-124.988667,0.1,27.86,csop,2,Winter,19,10,49.90507125854492,-124.98744201660156,0.2360447583467673
2021-02-24,49.903333,-124.988667,20.0,27.71,csop,2,Winter,19,10,49.90507125854492,-124.98744201660156,0.2360447583467673
2021-02-24,49.921667,-124.919967,0.1,25.44,csop,2,Winter,20,14,49.91579055786133,-124.91516876220705,0.8421064444483009
2021-02-24,49.921667,-124.919967,20.0,27.72,csop,2,Winter,20,14,49.91579055786133,-124.91516876220705,0.8421064444483009
2021-02-24,49.266667,-123.293333,0.1,25.62,csop,2,Winter,101,66,49.2590217590332,-123.29552459716795,0.882801134049209
2021-02-24,49.266667,-123.293333,20.0,29.15,csop,2,Winter,101,66,49.2590217590332,-123.29552459716795,0.882801134049209
2021-02-24,49.206667,-123.39,0.1,26.82,csop,2,Winter,102,59,49.20769500732422,-123.39445495605467,0.5074950166528228
2021-02-24,49.206667,-123.39,20.0,29.35,csop,2,Winter,102,59,49.20769500732422,-123.39445495605467,0.5074950166528228
2021-02-24,49.281667,-123.407725,0.1,26.46,csop,2,Winter,97,61,49.27776718139648,-123.41364288330078,0.7866911348687764
2021-02-24,49.278333,-123.405,20.0,29.19,csop,2,Winter,97,62,49.28341293334961,-123.39807891845705,0.9529664671121094
2021-02-24,49.326667,-123.305,0.1,26.64,csop,2,Winter,97,68,49.31727600097656,-123.30469512939452,1.0429500503564784
2021-02-24,49.326667,-123.305,20.0,29.59,csop,2,Winter,97,68,49.31727600097656,-123.30469512939452,1.0429500503564784
2021-03-10,49.266667,-123.293333,0.1,21.51,csop,3,Spring,101,66,49.2590217590332,-123.29552459716795,0.882801134049209
2021-03-10,49.266667,-123.293333,20.0,29.38,csop,3,Spring,101,66,49.2590217590332,-123.29552459716795,0.882801134049209
2021-03-10,49.206667,-123.39,0.1,15.07,csop,3,Spring,102,59,49.20769500732422,-123.39445495605467,0.5074950166528228
2021-03-10,49.206667,-123.39,20.0,28.49,csop,3,Spring,102,59,49.20769500732422,-123.39445495605467,0.5074950166528228
2021-03-10,49.281667,-123.407725,0.1,13.94,csop,3,Spring,97,61,49.27776718139648,-123.41364288330078,0.7866911348687764
2021-03-10,49.278333,-123.405,20.0,28.68,csop,3,Spring,97,62,49.28341293334961,-123.39807891845705,0.9529664671121094
2021-03-10,49.326667,-123.305,0.1,7.14,csop,3,Spring,97,68,49.31727600097656,-123.30469512939452,1.0429500503564784
2021-03-10,49.326667,-123.305,20.0,29.26,csop,3,Spring,97,68,49.31727600097656,-123.30469512939452,1.0429500503564784
2021-03-11,48.855,-123.363333,0.1,26.3,csop,3,Spring,125,46,48.86262130737305,-123.36579895019533,0.8891455888557139
2021-03-11,48.855,-123.363333,20.0,27.22,csop,3,Spring,125,46,48.86262130737305,-123.36579895019533,0.8891455888557139
2021-03-11,48.856667,-123.18,20.0,25.82,csop,3,Spring,130,55,48.85482025146485,-123.17511749267578,0.5794301847260985
2021-03-11,48.856667,-123.18,0.1,17.1,csop,3,Spring,130,55,48.85482025146485,-123.17511749267578,0.5794301847260985
2021-03-11,48.945,-123.32,0.1,18.83,csop,3,Spring,121,52,48.944068908691406,-123.31240844726562,0.8489766187531279
2021-03-11,48.945,-123.32,20.0,19.92,csop,3,Spring,121,52,48.944068908691406,-123.31240844726562,0.8489766187531279
2021-03-11,49.635,-124.083017,0.1,15.54,csop,3,Spring,58,43,49.633567810058594,-124.08528137207033,0.2974002370728575
2021-03-11,49.635,-124.083017,20.0,23.07,csop,3,Spring,58,43,49.633567810058594,-124.08528137207033,0.2974002370728575
2021-03-11,49.655,-124.2879,0.1,13.09,csop,3,Spring,52,34,49.65330505371094,-124.28511810302734,0.3615908047022518
2021-03-11,49.655,-124.2879,20.0,23.11,csop,3,Spring,52,34,49.65330505371094,-124.28511810302734,0.3615908047022518
2021-03-11,49.575,-124.155933,0.1,21.29,csop,3,Spring,60,37,49.576465606689446,-124.15841674804688,0.32011536560140463
2021-03-11,49.575,-124.155933,20.0,22.66,csop,3,Spring,60,37,49.576465606689446,-124.15841674804688,0.32011536560140463
2021-03-11,49.986667,-124.821683,0.1,24.22,csop,3,Spring,17,22,49.9955940246582,-124.82041931152344,1.0007785965668288
2021-03-11,49.986667,-124.821683,20.0,25.55,csop,3,Spring,17,22,49.9955940246582,-124.82041931152344,1.0007785965668288
2021-03-11,49.961667,-124.856667,0.1,13.84,csop,3,Spring,18,19,49.96716308593751,-124.85717010498045,0.6126161826156069
2021-03-11,49.961667,-124.856667,20.0,23.79,csop,3,Spring,18,19,49.96716308593751,-124.85717010498045,0.6126161826156069
2021-03-11,49.783333,-124.483433,0.1,0.74,csop,3,Spring,39,30,49.783016204833984,-124.4771728515625,0.6957656524312691
2021-03-11,49.783333,-124.483433,20.0,23.31,csop,3,Spring,39,30,49.783016204833984,-124.4771728515625,0.6957656524312691
2021-03-11,49.858333,-125.026783,0.1,26.74,csop,3,Spring,21,6,49.859161376953125,-125.02994537353516,0.3628667035755398
2021-03-11,49.858333,-125.026783,20.0,27.79,csop,3,Spring,21,6,49.859161376953125,-125.02994537353516,0.3628667035755398
2021-03-11,49.901667,-124.988733,0.1,13.58,csop,3,Spring,19,10,49.90507125854492,-124.98744201660156,0.4041316923018857
2021-03-11,49.901667,-124.988733,20.0,27.65,csop,3,Spring,19,10,49.90507125854492,-124.98744201660156,0.4041316923018857
2021-03-11,49.92,-124.920033,0.1,24.39,csop,3,Spring,20,14,49.91579055786133,-124.91516876220705,0.7140347311524273
2021-03-11,49.92,-124.920033,20.0,27.17,csop,3,Spring,20,14,49.91579055786133,-124.91516876220705,0.7140347311524273
