rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
56,bt_SGC4_PP123_all_lin_med_exdj1,SC203,-2.58974358974359,-15.142857142857142,11.307692307692308,17.714285714285715,233.8717948717949,562.1428571428571,13.61647105617563,18.274689756991386,11.695905879096149,18.926954108802995,0.2983777695827891,0.5194760672989671,15.292867450932636,23.709552023242807,0.5461040659604741,0.6613359328345101,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,all,0,median,1,ok,19.50120973708772
57,bt_SGC4_PP123_all_lin_mean_exdj0,SC203,-2.58974358974359,-15.142857142857142,11.307692307692308,17.714285714285715,233.8717948717949,562.1428571428571,13.61647105617563,18.274689756991386,11.695905879096149,18.926954108802995,0.2983777695827891,0.5194760672989671,15.292867450932636,23.709552023242807,0.5461040659604741,0.6613359328345101,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,all,0,mean,0,ok,19.50120973708772
58,bt_SGC2_PP123_ann_lin_med_exdj1,SC203,-2.58974358974359,-14.285714285714286,11.307692307692308,19.142857142857142,233.8717948717949,563.8571428571429,13.61647105617563,9.765881884376435,11.695905879096149,18.926954108802995,0.2983777695827891,0.2538069240393763,15.292867450932636,23.74567629816306,0.5461040659604741,0.5059873203676173,17,14,9,2,0.4358974358974359,0.358974358974359,0.6428571428571429,0.1428571428571428,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,1,ok,19.519271874547847
59,bt_SGC4_PP1_all_lin_med_exdj0,SC203,-2.58974358974359,-14.071428571428571,11.307692307692308,17.642857142857142,233.8717948717949,567.9285714285714,13.61647105617563,17.923305999708415,11.695905879096149,18.926954108802995,0.2983777695827891,0.4562505444779489,15.292867450932636,23.831251990371204,0.5461040659604741,0.6372415013175168,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA,all,0,median,0,ok,19.56205972065192
60,bt_SGC4_PP1_all_lin_mean_exdj1,SC203,-2.58974358974359,-14.285714285714286,11.307692307692308,17.857142857142858,233.8717948717949,569.4285714285714,13.61647105617563,17.645748750891585,11.695905879096149,18.926954108802995,0.2983777695827891,0.4554986074844216,15.292867450932636,23.86270251728776,0.5461040659604741,0.6341588363600943,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA,all,0,mean,1,ok,19.5777849841102
61,bt_SGC4_PP1_all_lin_med_exdj1,SC203,-2.58974358974359,-14.5,11.307692307692308,18.071428571428573,233.8717948717949,571.3571428571429,13.61647105617563,17.763755808053748,11.695905879096149,18.926954108802995,0.2983777695827891,0.4649920344987721,15.292867450932636,23.90307810423467,0.5461040659604741,0.6372926433382131,17,14,8,3,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA,all,0,median,1,ok,19.597972777583653
62,bt_SGC4_PP1_all_log_med_exdj0,SC203,-2.58974358974359,-14.5,11.307692307692308,18.071428571428573,233.8717948717949,571.3571428571429,13.61647105617563,17.763755808053748,11.695905879096149,18.926954108802995,0.2983777695827891,0.4649920344987721,15.292867450932636,23.90307810423467,0.5461040659604741,0.6372926433382131,17,14,8,3,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA,all,1,median,0,ok,19.597972777583653
63,bt_SGC4_PP1_all_log_med_exdj1,SC203,-2.58974358974359,-14.5,11.307692307692308,18.071428571428573,233.8717948717949,571.3571428571429,13.61647105617563,17.763755808053748,11.695905879096149,18.926954108802995,0.2983777695827891,0.4649920344987721,15.292867450932636,23.90307810423467,0.5461040659604741,0.6372926433382131,17,14,8,3,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA,all,1,median,1,ok,19.597972777583653
64,bt_SGC3_PP1_ann_log_med_exdj1,SC203,-2.58974358974359,-14.285714285714286,11.307692307692308,20.0,233.8717948717949,573.2857142857143,13.61647105617563,9.224247107156094,11.695905879096149,18.926954108802995,0.2983777695827891,0.2122503010893283,15.292867450932636,23.943385606169283,0.5461040659604741,0.4916661604104164,17,14,9,2,0.4358974358974359,0.358974358974359,0.6428571428571429,0.1428571428571428,39,39,14,14,SGC3,PP1-DIA,annual,1,median,1,ok,19.61812652855096
65,bt_SGC2_PP1_ann_log_med_exdj1,SC203,-2.58974358974359,-14.285714285714286,11.307692307692308,20.428571428571427,233.8717948717949,584.0,13.61647105617563,8.49879943502226,11.695905879096149,18.926954108802995,0.2983777695827891,0.157099190479035,15.292867450932636,24.166091947189145,0.5461040659604741,0.4667057140004658,17,14,9,1,0.4358974358974359,0.358974358974359,0.6428571428571429,0.0714285714285714,39,39,14,14,SGC2,PP1-DIA,annual,1,median,1,ok,19.72947969906089
66,bt_SGC2_PP123_ann_log_mean_exdj1,SC203,-2.58974358974359,-17.928571428571427,11.307692307692308,18.928571428571427,233.8717948717949,584.2142857142857,13.61647105617563,10.859022393702794,11.695905879096149,18.926954108802995,0.2983777695827891,0.5190706864571932,15.292867450932636,24.17052514353558,0.5461040659604741,0.5941933452208454,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,mean,1,ok,19.73169629723411
67,bt_SGC2_PP1_ann_log_mean_exdj0,SC203,-2.58974358974359,-17.285714285714285,11.307692307692308,18.571428571428573,233.8717948717949,602.0,13.61647105617563,12.378594097745296,11.695905879096149,18.926954108802995,0.2983777695827891,0.4444404747548343,15.292867450932636,24.535688292770597,0.5461040659604741,0.5980197480104035,17,14,7,4,0.4358974358974359,0.358974358974359,0.5,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,annual,1,mean,0,ok,19.914277871851617
68,bt_SGC2_PP1_ann_log_mean_exdj1,SC203,-2.58974358974359,-17.5,11.307692307692308,19.357142857142858,233.8717948717949,603.0714285714286,13.61647105617563,9.977525765848126,11.695905879096149,18.926954108802995,0.2983777695827891,0.4261693165374098,15.292867450932636,24.55751267069669,0.5461040659604741,0.5586805229605987,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA,annual,1,mean,1,ok,19.925190060814664
69,bt_SGC4_PP123_ann_log_med_exdj1,SC203,-2.58974358974359,-13.214285714285714,11.307692307692308,19.785714285714285,233.8717948717949,611.6428571428571,13.61647105617563,15.499835417164393,11.695905879096149,18.926954108802995,0.2983777695827891,0.2751677248517163,15.292867450932636,24.731414378131653,0.5461040659604741,0.532443060698482,17,14,9,2,0.4358974358974359,0.358974358974359,0.6428571428571429,0.1428571428571428,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,1,ok,20.012140914532146
70,bt_SGC4_PP1_ann_lin_med_exdj1,SC203,-2.58974358974359,-16.0,11.307692307692308,20.857142857142858,233.8717948717949,614.0,13.61647105617563,12.221802198513595,11.695905879096149,18.926954108802995,0.2983777695827891,0.3233639063201033,15.292867450932636,24.779023386727733,0.5461040659604741,0.5070529842789782,17,14,9,1,0.4358974358974359,0.358974358974359,0.6428571428571429,0.0714285714285714,39,39,14,14,SGC4,PP1-DIA,annual,0,median,1,ok,20.035945418830185
