,EWE_GROUP_CODE,BIOMASS_MT,TotalRelease,release_avg_date,FINAL_LAT,FINAL_LON,ROW_EWE,COL_EWE
0,Chinook-H-LFR-2,0.09577000000000001,19154,1981-07-01,49.2324,-121.9379,136.0,48.0
1,Chinook-H-LFR-2,0.10072,20144,1981-07-01,49.2324,-121.9379,136.0,48.0
2,Chinook-H-LFR-2,0.1273456,79591,1982-05-15,49.2189,-121.9451,136.0,48.0
3,Chinook-H-LFR-2,0.1502891973983741,70138,1983-04-20,49.2189,-121.9451,136.0,48.0
4,Chinook-H-LFR-2,0.1726508,61661,1986-06-10,49.2189,-121.9451,136.0,48.0
1069,Chinook-H-LFR-2,0.0013067,179,1987-06-19,49.7761,-124.3706,54.0,32.0
1070,Chinook-H-LFR-2,0.7581910500000001,117549,1988-06-02,49.7761,-124.3706,54.0,32.0
1071,Chinook-H-LFR-2,0.4056617,86311,1989-06-02,49.7761,-124.3706,54.0,32.0
1072,Chinook-H-LFR-2,0.12221642,36266,1989-06-02,49.7761,-124.3706,54.0,32.0
1073,Chinook-H-LFR-2,0.40240638,75357,1990-05-26,49.7761,-124.3706,54.0,32.0
1074,Chinook-H-LFR-2,0.39840672,74608,1990-05-26,49.7761,-124.3706,54.0,32.0
1075,Chinook-H-LFR-2,0.0248814,6010,1990-05-21,49.7761,-124.3706,54.0,32.0
1076,Chinook-H-LFR-2,0.6272046600000001,106126,1991-05-29,49.7761,-124.3706,54.0,32.0
1077,Chinook-H-LFR-2,0.3126702,72714,1991-05-29,49.7761,-124.3706,54.0,32.0
1078,Chinook-H-LFR-2,0.48195779999999994,71934,1992-05-25,49.7761,-124.3706,54.0,32.0
1079,Chinook-H-LFR-2,0.4834787,72161,1992-05-25,49.7761,-124.3706,54.0,32.0
1080,Chinook-H-LFR-2,1.5864041599999998,230582,1993-06-07,49.7761,-124.3706,54.0,32.0
1081,Chinook-H-LFR-2,1.84814526,224562,1994-05-27,49.7761,-124.3706,54.0,32.0
1082,Chinook-H-LFR-2,1.85432599,225313,1994-05-27,49.7761,-124.3706,54.0,32.0
1083,Chinook-H-LFR-2,0.091,10000,1995-06-10,49.803,-124.5264,44.0,28.0
1084,Chinook-H-LFR-2,0.87916928,161612,1995-05-24,49.7761,-124.3706,54.0,32.0
1085,Chinook-H-LFR-2,0.8557609600000001,157309,1995-05-24,49.7761,-124.3706,54.0,32.0
1086,Chinook-H-LFR-2,0.59015,47212,1996-05-27,49.803,-124.5264,44.0,28.0
1087,Chinook-H-LFR-2,2.701135,284330,1996-05-22,49.7761,-124.3706,54.0,32.0
1088,Chinook-H-LFR-2,0.3066348,25134,1997-05-28,49.803,-124.5264,44.0,28.0
1089,Chinook-H-LFR-2,0.30836719999999995,25276,1997-05-28,49.803,-124.5264,44.0,28.0
1090,Chinook-H-LFR-2,3.2262125,516194,1997-05-15,49.7761,-124.3706,54.0,32.0
1091,Chinook-H-LFR-2,1.6368876,188148,1998-05-02,49.7761,-124.3706,54.0,32.0
1092,Chinook-H-LFR-2,1.6427600999999998,188823,1998-05-02,49.7761,-124.3706,54.0,32.0
1093,Chinook-H-LFR-2,1.5246792,122958,1999-06-01,49.8528,-124.445,54.0,32.0
1094,Chinook-H-LFR-2,3.7488175999999998,302324,1999-05-31,49.7761,-124.3706,54.0,32.0
1095,Chinook-H-LFR-2,4.2297021799999985,315179,2000-05-31,49.8528,-124.445,54.0,32.0
1096,Chinook-H-LFR-2,3.664936,458117,2000-05-15,49.7761,-124.3706,54.0,32.0
1097,Chinook-H-LFR-2,3.3698696000000004,290506,2001-05-18,49.8528,-124.445,54.0,32.0
1098,Chinook-H-LFR-2,2.9462632,320246,2001-05-16,49.7761,-124.3706,54.0,32.0
1099,Chinook-H-LFR-2,6.6848,668480,2002-05-13,49.8528,-124.445,54.0,32.0
1100,Chinook-H-LFR-2,4.4674162000000015,519467,2003-05-14,49.8528,-124.445,54.0,32.0
1101,Chinook-H-LFR-2,0.6749407999999999,99256,2003-05-15,49.7761,-124.3706,54.0,32.0
1102,Chinook-H-LFR-2,6.11709,582580,2004-05-05,49.8528,-124.445,54.0,32.0
1103,Chinook-H-LFR-2,1.001215,117790,2004-05-04,49.7761,-124.3706,54.0,32.0
1104,Chinook-H-LFR-2,5.368149,596461,2005-05-02,49.8528,-124.445,54.0,32.0
1105,Chinook-H-LFR-2,0.8962450000000001,128035,2005-05-30,49.7761,-124.3706,54.0,32.0
1106,Chinook-H-LFR-2,4.833952,604244,2006-05-26,49.8528,-124.445,54.0,32.0
1107,Chinook-H-LFR-2,1.8113634,274449,2006-05-23,49.7761,-124.3706,54.0,32.0
