"year","month","mean"
"1980","1",1.11532354266979
"1980","2",0.636684974683841
"1980","3",0.978446234461358
"1980","4",1.02155376553864
"1980","5",1.06797566598361
"1980","6",0.862700373911007
"1980","7",0.741030900562061
"1980","8",0.410846511299766
"1980","9",0.348258227166276
"1980","10",1.32589381220141
"1980","11",1.3606518519555
"1980","12",1.31170828798595
"1981","1",1.68685339706674
"1981","2",1.26492523301522
"1981","3",1.73677208459602
"1981","4",0.738452625181499
"1981","5",0.424041784970726
"1981","6",0
"1981","7",0.896222194631147
"1981","8",1.10377780536885
"1981","9",0.877202867464871
"1981","10",0.682004213483607
"1981","11",1.48207532733607
"1981","12",1.16469966828454
"1982","1",0.789905503343091
"1982","2",0.956340782242389
"1982","3",1.04365921775761
"1982","4",0.581263643261124
"1982","5",0.477495624033958
"1982","6",1.76410170179742
"1982","7",1.15683722156323
"1982","8",0.694779613940281
"1982","9",1.30318474947892
"1982","10",1.09717148959602
"1982","11",0.651655081481265
"1982","12",1.42823957095433
"1983","1",0.991873643067916
"1983","2",1.03283664557377
"1983","3",1.20880316567916
"1983","4",1.0230968613466
"1983","5",1.41400619425059
"1983","6",1.00812635693208
"1983","7",0.0271454137470726
"1983","8",0.557220803501171
"1983","9",0.371713032482436
"1983","10",0.441841105058548
"1983","11",1.03024624350117
"1983","12",0
"1984","1",1.15924164563817
"1984","2",1.7800722189637
"1984","3",1.96709687644614
"1984","4",1.29237085834309
"1984","5",0.411438836820843
"1984","6",1.06466915097775
"1984","7",0.877289575661593
"1984","8",1.19938587951405
"1984","9",0.697504455380562
"1984","10",0.913583423038642
"1984","11",0.935330849022248
"1984","12",0.738040929314988
"1985","1",0.909597212845433
"1985","2",1.09040278715457
"1985","3",1.6170675636534
"1985","4",1.21341964358314
"1985","5",1.10131369156909
"1985","6",1.29580428539813
"1985","7",1.64141634090164
"1985","8",0.647659151311475
"1985","9",0.575710289800937
"1985","10",0.738729871229508
"1985","11",0
"1985","12",0
"1986","1",1.49179900666276
"1986","2",1.03600991802108
"1986","3",1.41186970665105
"1986","4",0.926016506252927
"1986","5",0.235556133255269
"1986","6",0.845539630035129
"1986","7",0.751235050456674
"1986","8",0.680853295620609
"1986","9",0.963990081978923
"1986","10",1.52966365291569
"1986","11",1.43222573562061
"1986","12",1.4335953437822
"1987","1",1.07012984397541
"1987","2",1.14470067926815
"1987","3",1.07914811806206
"1987","4",0.92987015602459
"1987","5",0.654486284994145
"1987","6",0.362093975216628
"1987","7",0.520395426129977
"1987","8",0.159708353916862
"1987","9",0.766391800275176
"1987","10",1.14683930104801
"1987","11",1.43912243686768
"1987","12",1.14260415814403
"1988","1",1.0815955079274
"1988","2",0.9184044920726
"1988","3",1.22659267807963
"1988","4",1.16644877145199
"1988","5",0.565295400421546
"1988","6",0.723189677857143
"1988","7",0.766826531065574
"1988","8",0.266672011967213
"1988","9",0.597298442915691
"1988","10",1.21751984303279
"1988","11",1.21190524016393
"1988","12",1.30386026603045
"1989","1",0.950679349168618
"1989","2",0
"1989","3",0.373848814730679
"1989","4",1.02022280679157
"1989","5",1.54878242428571
"1989","6",1.38508220106557
"1989","7",0.71145412706089
"1989","8",0.979777193208431
"1989","9",1.25760363497658
"1989","10",1.02438083050351
"1989","11",0.95784084206089
"1989","12",1.21549796989461
"1990","1",1.5020941886007
"1990","2",0.492591968811475
"1990","3",0.903103679408665
"1990","4",1.64995886130562
"1990","5",1.17529687781616
"1990","6",0.754752794923888
"1990","7",1.09689632059133
"1990","8",1.63383230739461
"1990","9",2
"1990","10",0.633858474525761
"1990","11",0.712270041820843
"1990","12",0.332244782769321
"1991","1",0.0921023442505855
"1991","2",1.1160356661007
"1991","3",0.978578496697892
"1991","4",1.27555208941452
"1991","5",1.02142150330211
"1991","6",0.551758104016393
"1991","7",0.404926897552693
"1991","8",0.676373565995316
"1991","9",1.10709056907494
