"year","month","mean"
"1980","1",0.978940295196489
"1980","2",0.982154852452086
"1980","3",0.979817510448542
"1980","4",0.983519906345627
"1980","5",0.993645394689161
"1980","6",0.999931776876309
"1980","7",1.00006822312369
"1980","8",1.01270149931551
"1980","9",1.0283392462353
"1980","10",1.0483597754268
"1980","11",1.04126566834434
"1980","12",1.02522212834192
"1981","1",1.04619943161137
"1981","2",1.03820226226043
"1981","3",1.04431364460863
"1981","4",1.04482590521823
"1981","5",1.0395811737196
"1981","6",1.00950275827428
"1981","7",0.990497241725721
"1981","8",0.982323323441778
"1981","9",0.974296119403286
"1981","10",0.931564184671445
"1981","11",0.889388514454824
"1981","12",0.870111198240457
"1982","1",1.00146254718956
"1982","2",0.998537452810436
"1982","3",0.988504660976003
"1982","4",0.985310771641971
"1982","5",0.989464562691255
"1982","6",1.02222092458528
"1982","7",1.03807227782252
"1982","8",1.03802032853519
"1982","9",1.04681199710098
"1982","10",1.03311792764535
"1982","11",0.989569964869544
"1982","12",0.971014455306813
"1983","1",1.06271564187067
"1983","2",1.06524013148253
"1983","3",1.04877460571348
"1983","4",1.03490885504912
"1983","5",1.02729894147608
"1983","6",1.01614979378724
"1983","7",0.983850206212756
"1983","8",0.93576559401675
"1983","9",0.906505329662587
"1983","10",0.893029387602674
"1983","11",0.869399054477372
"1983","12",0.862112277158158
"1984","1",0.972353233471574
"1984","2",0.974696523534386
"1984","3",0.968865717043808
"1984","4",0.971636332783057
"1984","5",0.971825320562893
"1984","6",0.982655716278789
"1984","7",1.01734428372121
"1984","8",1.04923956442261
"1984","9",1.06669212306732
"1984","10",1.05004517480673
"1984","11",1.01849025092608
"1984","12",1.02361010945804
"1985","1",0.889466198633033
"1985","2",0.916440796474875
"1985","3",0.947148109488243
"1985","4",0.982616812036962
"1985","5",0.992648201169673
"1985","6",1.00543350669391
"1985","7",1.00304233174626
"1985","8",0.996957668253745
"1985","9",1.01059247943509
"1985","10",1.05365379047552
"1985","11",1.08181164055202
"1985","12",1.09282002783258
"1986","1",1.01505831847922
"1986","2",1.00346591462997
"1986","3",1.00056507713601
"1986","4",0.999434922863988
"1986","5",0.978674629358592
"1986","6",0.96310597208689
"1986","7",0.941284918897971
"1986","8",0.965576340523836
"1986","9",0.984377302212514
"1986","10",1.00221550671404
"1986","11",1.01598341090554
"1986","12",1.02144809976445
"1987","1",1.03781591248591
"1987","2",1.02735731472459
"1987","3",1.01494502401756
"1987","4",1.02189499770494
"1987","5",1.01817652099775
"1987","6",1.003179007469
"1987","7",0.989867493738927
"1987","8",0.970801845466259
"1987","9",0.963305334776131
"1987","10",0.974420729807537
"1987","11",0.996571079320342
"1987","12",0.996820992531003
"1988","1",1.04221964600781
"1988","2",1.03782015083951
"1988","3",1.04292130939966
"1988","4",1.04040726730351
"1988","5",1.02766912768763
"1988","6",0.989736795105895
"1988","7",0.954712327035352
"1988","8",0.946585871547351
"1988","9",0.960903794340876
"1988","10",0.986940170206555
"1988","11",0.996271880485988
"1988","12",1.00372811951401
"1989","1",0.99090721711427
"1989","2",1.01619509060436
"1989","3",1.00899392109237
"1989","4",0.997225937057095
"1989","5",0.995353075907956
"1989","6",1.00277406294291
"1989","7",0.981507150114753
"1989","8",0.948577510297552
"1989","9",0.966756348536399
"1989","10",1.01346357051256
"1989","11",1.04565739409526
"1989","12",1.05781448036117
"1990","1",1.01523876630697
"1990","2",1.01982452367531
"1990","3",1.03144227975519
"1990","4",1.04764592762522
"1990","5",1.0451579306249
"1990","6",1.01643693344339
"1990","7",0.984761233693026
"1990","8",0.959559260730391
"1990","9",0.945184041472057
