"year","avg_mean","month"
"1980",0.0382982570059591,1
"1980",0.0382982570059591,2
"1980",0.0382982570059591,3
"1980",0.0382982570059591,4
"1980",0.0382982570059591,5
"1980",0.0382982570059591,6
"1980",0.0382982570059591,7
"1980",0.0382982570059591,8
"1980",0.0382982570059591,9
"1980",0.0382982570059591,10
"1980",0.0382982570059591,11
"1980",0.0382982570059591,12
"1981",-0.0912926263085843,1
"1981",-0.0912926263085843,2
"1981",-0.0912926263085843,3
"1981",-0.0912926263085843,4
"1981",-0.0912926263085843,5
"1981",-0.0912926263085843,6
"1981",-0.0912926263085843,7
"1981",-0.0912926263085843,8
"1981",-0.0912926263085843,9
"1981",-0.0912926263085843,10
"1981",-0.0912926263085843,11
"1981",-0.0912926263085843,12
"1982",-0.12244658797713,1
"1982",-0.12244658797713,2
"1982",-0.12244658797713,3
"1982",-0.12244658797713,4
"1982",-0.12244658797713,5
"1982",-0.12244658797713,6
"1982",-0.12244658797713,7
"1982",-0.12244658797713,8
"1982",-0.12244658797713,9
"1982",-0.12244658797713,10
"1982",-0.12244658797713,11
"1982",-0.12244658797713,12
"1983",-0.342214124429591,1
"1983",-0.342214124429591,2
"1983",-0.342214124429591,3
"1983",-0.342214124429591,4
"1983",-0.342214124429591,5
"1983",-0.342214124429591,6
"1983",-0.342214124429591,7
"1983",-0.342214124429591,8
"1983",-0.342214124429591,9
"1983",-0.342214124429591,10
"1983",-0.342214124429591,11
"1983",-0.342214124429591,12
"1984",-0.286281289029366,1
"1984",-0.286281289029366,2
"1984",-0.286281289029366,3
"1984",-0.286281289029366,4
"1984",-0.286281289029366,5
"1984",-0.286281289029366,6
"1984",-0.286281289029366,7
"1984",-0.286281289029366,8
"1984",-0.286281289029366,9
"1984",-0.286281289029366,10
"1984",-0.286281289029366,11
"1984",-0.286281289029366,12
"1985",-0.113669085158641,1
"1985",-0.113669085158641,2
"1985",-0.113669085158641,3
"1985",-0.113669085158641,4
"1985",-0.113669085158641,5
"1985",-0.113669085158641,6
"1985",-0.113669085158641,7
"1985",-0.113669085158641,8
"1985",-0.113669085158641,9
"1985",-0.113669085158641,10
"1985",-0.113669085158641,11
"1985",-0.113669085158641,12
"1986",-0.0780986623852472,1
"1986",-0.0780986623852472,2
"1986",-0.0780986623852472,3
"1986",-0.0780986623852472,4
"1986",-0.0780986623852472,5
"1986",-0.0780986623852472,6
"1986",-0.0780986623852472,7
"1986",-0.0780986623852472,8
"1986",-0.0780986623852472,9
"1986",-0.0780986623852472,10
"1986",-0.0780986623852472,11
"1986",-0.0780986623852472,12
"1987",-0.111556549269877,1
"1987",-0.111556549269877,2
"1987",-0.111556549269877,3
"1987",-0.111556549269877,4
"1987",-0.111556549269877,5
"1987",-0.111556549269877,6
"1987",-0.111556549269877,7
"1987",-0.111556549269877,8
"1987",-0.111556549269877,9
"1987",-0.111556549269877,10
"1987",-0.111556549269877,11
"1987",-0.111556549269877,12
"1988",-0.143658504737746,1
"1988",-0.143658504737746,2
"1988",-0.143658504737746,3
"1988",-0.143658504737746,4
"1988",-0.143658504737746,5
"1988",-0.143658504737746,6
"1988",-0.143658504737746,7
"1988",-0.143658504737746,8
"1988",-0.143658504737746,9
"1988",-0.143658504737746,10
"1988",-0.143658504737746,11
"1988",-0.143658504737746,12
"1989",-0.0674566984619101,1
"1989",-0.0674566984619101,2
"1989",-0.0674566984619101,3
"1989",-0.0674566984619101,4
"1989",-0.0674566984619101,5
"1989",-0.0674566984619101,6
"1989",-0.0674566984619101,7
"1989",-0.0674566984619101,8
"1989",-0.0674566984619101,9
"1989",-0.0674566984619101,10
"1989",-0.0674566984619101,11
"1989",-0.0674566984619101,12
"1990",-0.0682686045122671,1
"1990",-0.0682686045122671,2
"1990",-0.0682686045122671,3
"1990",-0.0682686045122671,4
"1990",-0.0682686045122671,5
"1990",-0.0682686045122671,6
"1990",-0.0682686045122671,7
"1990",-0.0682686045122671,8
"1990",-0.0682686045122671,9
"1990",-0.0682686045122671,10
"1990",-0.0682686045122671,11
"1990",-0.0682686045122671,12
"1991",-0.108958158439362,1
"1991",-0.108958158439362,2
"1991",-0.108958158439362,3
"1991",-0.108958158439362,4
"1991",-0.108958158439362,5
"1991",-0.108958158439362,6
"1991",-0.108958158439362,7
"1991",-0.108958158439362,8
"1991",-0.108958158439362,9
"1991",-0.108958158439362,10
"1991",-0.108958158439362,11
"1991",-0.108958158439362,12
"1992",-0.219027460393515,1
"1992",-0.219027460393515,2
"1992",-0.219027460393515,3
"1992",-0.219027460393515,4
"1992",-0.219027460393515,5
"1992",-0.219027460393515,6
"1992",-0.219027460393515,7
"1992",-0.219027460393515,8
"1992",-0.219027460393515,9
"1992",-0.219027460393515,10
"1992",-0.219027460393515,11
"1992",-0.219027460393515,12
"1993",-0.154413090983519,1
"1993",-0.154413090983519,2
"1993",-0.154413090983519,3
"1993",-0.154413090983519,4
"1993",-0.154413090983519,5
"1993",-0.154413090983519,6
"1993",-0.154413090983519,7
"1993",-0.154413090983519,8
"1993",-0.154413090983519,9
"1993",-0.154413090983519,10
"1993",-0.154413090983519,11
"1993",-0.154413090983519,12
"1994",-0.0331160594164385,1
"1994",-0.0331160594164385,2
"1994",-0.0331160594164385,3
"1994",-0.0331160594164385,4
"1994",-0.0331160594164385,5
"1994",-0.0331160594164385,6
"1994",-0.0331160594164385,7
"1994",-0.0331160594164385,8
"1994",-0.0331160594164385,9
"1994",-0.0331160594164385,10
"1994",-0.0331160594164385,11
"1994",-0.0331160594164385,12
"1995",-0.0032890528399635,1
