"year","month","mean"
"1980","1",1.14998987690867
"1980","2",1.08179048724824
"1980","3",0.918209512751756
"1980","4",1.27320316224824
"1980","5",0.339998002997658
"1980","6",1.17565299822014
"1980","7",1.11679929129977
"1980","8",1.72106687951991
"1980","9",0.755334648770492
"1980","10",0
"1980","11",0.562770285971897
"1980","12",0.426136807868852
"1981","1",0.124604120819672
"1981","2",0.555489779028103
"1981","3",0.83757196912178
"1981","4",1.20265731894614
"1981","5",0.996621674449649
"1981","6",0.410480875901639
"1981","7",0.88226379324356
"1981","8",1.65793074507026
"1981","9",1.29458957891101
"1981","10",1.11152567806792
"1981","11",1.38533000627635
"1981","12",1.00337832555035
"1982","1",1.255539293226
"1982","2",1.18570588094262
"1982","3",1.14563073169204
"1982","4",1.83613623528689
"1982","5",2
"1982","6",0.854369268307963
"1982","7",0
"1982","8",0
"1982","9",0
"1982","10",0.488900069162763
"1982","11",0.804491539010539
"1982","12",1.38164575533372
"1983","1",1.18611536541569
"1983","2",1.17887866427986
"1983","3",0.953459655685012
"1983","4",1.13438407501756
"1983","5",1.64135859740632
"1983","6",1.34496072312061
"1983","7",0.320243087347775
"1983","8",0.650108446059719
"1983","9",0.881838560884075
"1983","10",0.750270595122951
"1983","11",1.04654034431499
"1983","12",0.568821021293911
"1984","1",0.687761657160421
"1984","2",1.12245791995902
"1984","3",0.650422500872365
"1984","4",1.3581514172541
"1984","5",2
"1984","6",2
"1984","7",0.914273788272834
"1984","8",0.850730670263466
"1984","9",0.807761328038642
"1984","10",0.61457342719555
"1984","11",1.3143408931089
"1984","12",1.08572621172717
"1985","1",0.344211256457846
"1985","2",0.752058971059719
"1985","3",1.05755738443208
"1985","4",0.942442615567916
"1985","5",1.08964319598946
"1985","6",0.170021210556206
"1985","7",1.55416004298009
"1985","8",1.96491218267564
"1985","9",1.0834958732377
"1985","10",1.08261876878806
"1985","11",0.186540028799766
"1985","12",0.244174978893443
"1986","1",1.15347677672717
"1986","2",1.00602459624707
"1986","3",0.585090647652225
"1986","4",0.655494079443794
"1986","5",1.36821344970141
"1986","6",1.46042500951405
"1986","7",0.149810271446136
"1986","8",1.54811406687939
"1986","9",0.964039986293911
"1986","10",0.527370562827869
"1986","11",1.18259191726581
"1986","12",0.993975403752927
"1987","1",0.540595273606557
"1987","2",0.320996340995316
"1987","3",0.051114548466042
"1987","4",0
"1987","5",1.00481371543326
"1987","6",1.39850722114754
"1987","7",1.4093191538993
"1987","8",1.44331344834895
"1987","9",1.04605662645199
"1987","10",1.04614606495316
"1987","11",0.970852355456674
"1987","12",0.995186284566745
"1988","1",1.33262490697307
"1988","2",1.04761283927986
"1988","3",1.12325900084895
"1988","4",0.95325839132904
"1988","5",0
"1988","6",0
"1988","7",0.179469252183841
"1988","8",1.19790555909251
"1988","9",1.04674160867096
"1988","10",0.720767318319672
"1988","11",1.24077589931499
"1988","12",0.799440737277518
"1989","1",1.0974272872541
"1989","2",0.850614379233021
"1989","3",0.761242378179157
"1989","4",1.27911322472482
"1989","5",0.998265181539813
"1989","6",1.83748387086066
"1989","7",1.53172871082553
"1989","8",0.480438156750585
"1989","9",1.00173481846019
"1989","10",1.40172892581382
"1989","11",0.669429303202576
"1989","12",0
"1990","1",1.05077633521663
"1990","2",1.51204143145785
"1990","3",1.21833885630562
"1990","4",1.15152737203162
"1990","5",0.755243521633489
"1990","6",0
"1990","7",0.335163637148712
"1990","8",1.13234730995902
"1990","9",0.949223664783372
"1990","10",1.49714015344848
"1990","11",0.823707422968384
"1990","12",0.909479842570258
"1991","1",0.727317794824356
"1991","2",0.402631454344262
"1991","3",0.521822982470726
"1991","4",1.14006933655738
"1991","5",0.636105076978923
"1991","6",1.23951193711944
"1991","7",1.2351918056089
"1991","8",0.863155507599532
"1991","9",0.480024129637002
"1991","10",1.13684449240047
"1991","11",1.17378907733021
"1991","12",1.29301464381733
"1992","1",0.949914059508197
"1992","2",0.649112016077283
"1992","3",0.369720848138173
"1992","4",0.411731124192038
"1992","5",1.01328669805621
"1992","6",2
"1992","7",1.48843984012881
"1992","8",2
"1992","9",1.83397288055035
"1992","10",1.11414094167447
"1992","11",0.625193554800937
"1992","12",0.986713301943794
"1993","1",1.08434166968384
"1993","2",0.922068266580796
"1993","3",0.985336356674473
"1993","4",0.759461255351288
"1993","5",0.426177427576112
"1993","6",1.05340983361827
"1993","7",1.19598385456674
"1993","8",0.789926879180328
"1993","9",0.695128505807963
"1993","10",1.01466364332553
"1993","11",1.41995728694379
"1993","12",1.21190283179157
"1994","1",1.09838946355386
