threeday_yrmo,threeday_yr,year,dayofyear,uPAR
1,1,2003,2,4.88
2,1,2003,2,4.88
3,1,2003,2,4.88
4,1,2003,2,4.88
5,1,2003,2,4.88
6,1,2003,2,4.88
7,1,2003,2,4.88
8,1,2003,2,4.88
9,1,2003,2,4.88
10,1,2003,2,4.88
11,1,2003,2,4.88
12,1,2003,2,4.88
13,2,2003,5,6.246
14,2,2003,5,6.246
15,2,2003,5,6.246
16,2,2003,5,6.246
17,2,2003,5,6.246
18,2,2003,5,6.246
19,2,2003,5,6.246
20,2,2003,5,6.246
21,2,2003,5,6.246
22,2,2003,5,6.246
23,2,2003,5,6.246
24,2,2003,5,6.246
25,3,2003,8,12.876
26,3,2003,8,12.876
27,3,2003,8,12.876
28,3,2003,8,12.876
29,3,2003,8,12.876
30,3,2003,8,12.876
31,3,2003,8,12.876
32,3,2003,8,12.876
33,3,2003,8,12.876
34,3,2003,8,12.876
35,3,2003,8,12.876
36,3,2003,8,12.876
37,4,2003,11,9.492
38,4,2003,11,9.492
39,4,2003,11,9.492
40,4,2003,11,9.492
41,4,2003,11,9.492
42,4,2003,11,9.492
43,4,2003,11,9.492
44,4,2003,11,9.492
45,4,2003,11,9.492
46,4,2003,11,9.492
47,4,2003,11,9.492
48,4,2003,11,9.492
49,5,2003,14,9.549
50,5,2003,14,9.549
51,5,2003,14,9.549
52,5,2003,14,9.549
53,5,2003,14,9.549
54,5,2003,14,9.549
55,5,2003,14,9.549
56,5,2003,14,9.549
57,5,2003,14,9.549
58,5,2003,14,9.549
59,5,2003,14,9.549
60,5,2003,14,9.549
61,6,2003,17,9.568
62,6,2003,17,9.568
63,6,2003,17,9.568
64,6,2003,17,9.568
65,6,2003,17,9.568
66,6,2003,17,9.568
67,6,2003,17,9.568
68,6,2003,17,9.568
69,6,2003,17,9.568
70,6,2003,17,9.568
71,6,2003,17,9.568
72,6,2003,17,9.568
73,7,2003,20,9.537
74,7,2003,20,9.537
75,7,2003,20,9.537
76,7,2003,20,9.537
77,7,2003,20,9.537
78,7,2003,20,9.537
79,7,2003,20,9.537
80,7,2003,20,9.537
81,7,2003,20,9.537
82,7,2003,20,9.537
83,7,2003,20,9.537
84,7,2003,20,9.537
85,8,2003,23,7.072
86,8,2003,23,7.072
87,8,2003,23,7.072
88,8,2003,23,7.072
89,8,2003,23,7.072
90,8,2003,23,7.072
91,8,2003,23,7.072
92,8,2003,23,7.072
93,8,2003,23,7.072
94,8,2003,23,7.072
95,8,2003,23,7.072
96,8,2003,23,7.072
97,9,2003,26,9.819
98,9,2003,26,9.819
99,9,2003,26,9.819
100,9,2003,26,9.819
101,9,2003,26,9.819
102,9,2003,26,9.819
103,9,2003,26,9.819
104,9,2003,26,9.819
105,9,2003,26,9.819
106,9,2003,26,9.819
107,9,2003,26,9.819
108,9,2003,26,9.819
109,10,2003,29,8.292
110,10,2003,29,8.292
111,10,2003,29,8.292
112,10,2003,29,8.292
113,10,2003,29,8.292
114,10,2003,29,8.292
115,10,2003,29,8.292
116,10,2003,29,8.292
117,10,2003,29,8.292
118,10,2003,29,8.292
119,10,2003,29,8.292
120,10,2003,29,8.292
121,11,2003,32,10.342
